"ID" "name" "x" "y" "pop"
1 "Northland" 1700348.426 6061149.38 178500
2 "Waitemata" 1749476.385 5947203.201 622350
3 "Auckland" 1757594.65 5920685.756 538840
4 "Counties.Manukau" 1766973.195 5885442.521 557790
5 "Waikato" 1810656.987 5816377.136 417130
6 "Lakes" 1878016.101 5754014.304 110040
7 "Bay.of.Plenty" 1896923.147 5815743.332 236820
8 "Tairawhiti" 2038766.624 5713797.967 48965
9 "Taranaki" 1699580.398 5662304.784 119640
10 "Hawkes.Bay" 1934136.144 5612568.62 165360
11 "Whanganui" 1784458.549 5579703.334 64565
12 "MidCentral" 1816860.065 5524911.027 178240
13 "Hutt.Valley" 1763986.614 5437753.032 149270
14 "Capital.and.Coast" 1753070.355 5437211.947 316620
15 "Wairarapa" 1817576.511 5457737.439 44845
16 "Nelson.Marlborough" 1636138.569 5423667.669 150280
17 "West.Coast" 1458495.717 5311071.999 32445
18 "Canterbury" 1566860.177 5181157.507 562870
19 "South.Canterbury" 1455463.883 5085777.75 60025
20 "Southern" 1343425.477 4917902.664 328230
