distributed-seir-08
02:51:46.996 PM 06-Apr-2020
min-pxcor,-15
max-pxcor,15
min-pycor,-15
max-pycor,15
initial-infected,100
alert-policy,global
testing-rate-presymptomatic,0.025
testing-rate-general,5.0E-4
init-alert-level,0
use-seed?,false
seed,30
relative-infectiousness-presymptomatic,0.15
p-icu,0.0125
pop-sd-multiplier,0.45
population,5000000
p-hosp,0.05
uniform-by-pop?,true
infected-to-recovered,0.1
flow-rate,1
cfr-0,0.01
exposed-to-presymptomatic,0.25
time-horizon,7
alert-levels-R0,[2.5 2.1 1.6 1.1 0.6]
num-locales,100
cfr-1,0.02
alert-levels-flow,[1.0 0.5 0.25 0.1 0.05]
presymptomatic-to-infected,1
testing-rate-symptomatic,0.25
icu-cap,500
log-all-locales?,true
ticks,seed,who,pop-0,susceptible,exposed,presymptomatic,infected,recovered,dead,tests,tests-positive,new-exposed,new-presymptomatic,new-infected,new-recovered,new-dead,alert-level
0,30,49,20462,20462,0,0,0,0,0,7,0,0,0,0,0,0,0
0,30,27,98056,98054,1,0,1,0,0,54,0,0,0,0,0,0,0
0,30,14,88788,88787,1,0,0,0,0,50,0,0,0,0,0,0,0
0,30,95,65354,65352,0,0,2,0,0,25,0,0,0,2,0,0,0
0,30,35,93072,93069,1,0,2,0,0,34,0,1,0,1,0,0,0
0,30,76,45393,45391,0,0,2,0,0,22,0,0,0,0,0,0,0
0,30,69,53164,53164,0,0,0,0,0,26,0,0,0,0,0,0,0
0,30,64,18921,18917,2,0,2,0,0,11,1,2,0,0,0,0,0
0,30,78,60877,60873,1,0,3,0,0,26,0,0,0,2,0,0,0
0,30,32,27081,27081,0,0,0,0,0,13,0,0,0,0,0,0,0
0,30,13,40511,40511,0,0,0,0,0,30,0,0,0,0,0,0,0
0,30,34,48555,48555,0,0,0,0,0,24,0,0,0,0,0,0,0
0,30,50,27732,27732,0,0,0,0,0,19,0,0,0,0,0,0,0
0,30,9,40113,40113,0,0,0,0,0,17,0,0,0,0,0,0,0
