ticks,who,pop-0,susceptible,exposed,presymptomatic,infected,recovered,dead,tests,tests-positive,new-exposed,new-presymptomatic,new-infected,new-recovered,new-dead,alert-level
0,11,128456,128396,17,7,35,1,0,63,0,2,7,23,1,0,4
0,15,389211,389008,55,18,125,5,1,200,23,4,18,55,5,1,4
0,17,264301,264170,29,11,86,5,0,148,8,2,11,43,5,0,4
0,10,159278,159195,24,12,47,0,0,70,4,1,12,25,0,0,4
0,9,180081,180002,22,10,45,2,0,104,7,1,10,19,2,0,4
0,3,607574,607259,80,33,194,8,0,324,23,4,28,96,8,0,4
0,0,157193,157105,25,1,58,4,0,82,5,3,1,31,4,0,4
0,13,205909,205791,35,8,69,6,0,116,9,2,8,38,6,0,4
0,1,450527,450311,57,21,131,7,0,241,18,8,21,69,7,0,4
0,5,258864,258731,37,5,89,2,0,150,11,1,5,45,2,0,4
0,12,263926,263797,26,13,86,4,0,136,10,3,13,44,4,0,4
0,16,156011,155928,20,7,53,3,0,88,6,0,7,30,3,0,4
0,7,245148,245023,38,11,73,3,0,136,7,2,11,49,3,0,4
0,14,52823,52797,5,2,19,0,0,30,4,0,2,5,0,0,4
0,19,118230,118164,15,4,43,4,0,67,0,0,4,27,4,0,4
0,6,233295,233169,29,10,78,9,0,139,8,3,10,48,9,0,4
0,4,200457,200360,26,14,49,8,0,126,9,1,14,27,8,0,4
0,8,395563,395367,61,7,124,4,0,214,17,4,7,71,4,0,4
0,18,268526,268399,40,13,69,5,0,135,4,4,13,42,5,0,4
0,2,264626,264482,36,9,91,8,0,158,16,1,9,41,8,0,4
1,0,157193,157102,24,4,57,6,0,182,22,3,4,1,2,0,4
1,18,268526,268398,25,16,76,11,0,283,24,1,16,13,6,0,4
1,17,264301,264165,25,9,87,15,0,271,24,5,9,11,10,0,4
1,16,156010,155926,18,4,54,8,1,181,26,2,4,7,5,1,4
1,5,258864,258723,34,11,83,13,0,296,34,8,11,5,11,0,4
1,15,389211,389003,46,14,127,21,1,441,60,5,14,18,16,0,4
1,3,607574,607245,78,16,204,31,0,662,73,14,16,33,23,0,4
1,1,450526,450302,46,20,139,19,1,500,57,9,20,21,12,1,4
1,8,395563,395356,61,11,112,23,0,462,57,11,11,7,19,0,4
1,14,52823,52796,5,1,20,1,0,54,8,1,1,2,1,0,4
1,12,263926,263793,22,8,87,16,0,296,38,4,8,13,12,0,4
1,10,159278,159193,20,6,55,4,0,181,15,2,6,12,4,0,4
1,6,233295,233162,33,3,77,20,0,280,29,7,3,10,11,0,4
1,7,245148,245015,35,11,78,9,0,259,22,8,11,11,6,0,4
1,9,180080,179999,21,4,49,7,1,204,18,3,4,10,5,1,4
1,2,264625,264474,37,7,88,19,1,319,40,8,7,9,11,1,4
1,4,200457,200358,25,3,62,9,0,233,19,2,3,14,1,0,4
1,11,128456,128393,14,6,40,3,0,140,9,3,6,7,2,0,4
1,13,205909,205789,27,10,71,12,0,251,27,2,10,8,6,0,4
1,19,118230,118160,11,8,44,7,0,147,12,4,8,4,3,0,4
2,14,52823,52796,3,2,16,6,0,85,16,0,2,1,5,0,4
2,8,395562,395349,52,16,108,37,1,691,80,7,16,11,14,1,4
2,2,264625,264470,34,7,86,28,1,473,66,4,7,7,9,0,4
2,5,258864,258719,27,11,90,17,0,439,51,4,11,11,4,0,4
2,13,205909,205784,26,6,76,17,0,366,51,5,6,10,5,0,4
2,11,128456,128388,14,5,41,8,0,220,18,5,5,6,5,0,4
2,4,200457,200354,23,6,60,14,0,326,32,4,6,3,5,0,4
2,15,389211,388992,45,12,127,35,1,719,93,11,12,14,14,0,4
2,12,263926,263792,23,0,84,27,0,428,59,1,0,8,11,0,4
2,7,245148,245008,35,7,81,17,0,396,41,7,7,11,8,0,4
2,6,233294,233158,34,3,69,30,1,417,48,4,3,3,10,1,4
2,0,157193,157099,19,8,55,12,0,268,37,3,8,4,6,0,4
2,1,450526,450297,40,11,147,31,1,773,87,5,11,20,12,0,4
2,9,180080,179997,15,8,49,11,1,312,37,2,8,4,4,0,4
2,16,156010,155924,16,4,51,15,1,269,43,2,4,4,7,0,4
2,18,268526,268389,30,4,86,17,0,451,42,9,4,16,6,0,4
2,10,159278,159190,17,6,53,12,0,275,35,3,6,6,8,0,4
2,17,264301,264156,29,5,85,26,0,430,53,9,5,9,11,0,4
2,19,118230,118160,7,4,49,10,0,214,24,0,4,8,3,0,4
2,3,607574,607236,64,23,202,49,0,1027,120,9,23,16,18,0,4
3,19,118230,118156,10,1,51,12,0,283,36,4,1,4,2,0,4
3,6,233294,233153,31,8,64,38,1,559,66,5,8,3,8,0,4
3,4,200457,200346,29,2,63,17,0,461,53,8,2,6,3,0,4
3,12,263926,263784,27,4,70,41,0,574,82,8,4,0,14,0,4
3,15,389210,388982,45,10,128,45,2,950,123,10,10,12,10,1,4
3,13,205909,205778,18,14,74,25,0,489,61,6,14,6,8,0,4
3,18,268526,268386,27,6,80,27,0,620,61,3,6,4,10,0,4
3,17,264301,264150,32,3,84,32,0,568,81,6,3,5,6,0,4
3,1,450526,450291,36,10,146,43,1,1058,130,6,10,11,12,0,4
3,7,245148,245007,27,9,81,24,0,529,62,1,9,7,7,0,4
3,2,264625,264467,30,7,86,35,1,620,95,3,7,7,7,0,4
3,11,128456,128388,11,3,39,15,0,286,26,0,3,5,7,0,4
3,0,157193,157097,19,2,56,19,0,361,49,2,2,8,7,0,4
3,14,52823,52795,3,1,17,7,0,120,18,1,1,2,1,0,4
3,16,156010,155922,16,2,48,22,1,370,58,2,2,4,7,0,4
3,3,607574,607218,68,14,205,69,0,1402,175,18,14,23,20,0,4
3,5,258864,258717,22,7,92,26,0,608,72,2,7,11,9,0,4
3,8,395562,395343,45,13,118,43,1,926,104,6,13,16,6,0,4
3,10,159278,159185,17,5,53,18,0,372,45,5,5,6,6,0,4
3,9,180080,179995,16,1,54,14,1,426,48,2,1,8,3,0,4
4,18,268526,268380,27,6,80,33,0,757,82,6,6,6,6,0,4
4,11,128456,128386,11,2,35,22,0,375,35,2,2,3,7,0,4
4,16,156010,155918,16,4,46,26,1,454,67,4,4,2,4,0,4
4,3,607574,607206,68,12,196,92,0,1767,227,12,12,14,23,0,4
4,6,233294,233150,28,6,60,50,1,684,80,3,6,8,12,0,4
4,0,157192,157096,13,7,55,21,1,456,65,1,7,2,2,1,4
4,12,263926,263778,31,2,71,44,0,735,97,6,2,4,3,0,4
4,5,258864,258707,27,5,93,32,0,773,97,10,5,7,6,0,4
4,1,450526,450285,30,12,138,61,1,1299,158,6,12,10,18,0,4
4,19,118230,118154,12,0,47,17,0,367,54,2,0,1,5,0,4
4,10,159278,159180,21,1,55,21,0,470,54,5,1,5,3,0,4
4,7,245148,244999,31,4,83,31,0,662,77,8,4,9,7,0,4
4,9,180080,179993,13,5,53,16,1,522,58,2,5,1,2,0,4
4,8,395562,395338,35,15,120,54,1,1142,133,5,15,13,11,0,4
4,17,264301,264146,31,5,82,37,0,734,102,4,5,3,5,0,4
4,4,200456,200340,28,7,56,25,1,604,71,6,7,2,8,1,4
4,13,205909,205777,13,6,86,27,0,616,83,1,6,14,2,0,4
4,14,52823,52795,3,0,15,10,0,150,25,0,0,1,3,0,4
4,15,389210,388972,46,9,126,57,2,1182,163,10,9,10,12,0,4
4,2,264625,264465,26,6,77,51,1,765,116,2,6,7,16,0,4
5,2,264625,264460,29,2,75,59,1,913,136,5,2,6,8,0,4
5,14,52823,52794,3,1,14,11,0,179,29,1,1,0,1,0,4
5,9,180080,179991,11,4,51,23,1,614,69,2,4,5,7,0,4
5,13,205909,205776,13,1,84,35,0,748,106,1,1,6,8,0,4
5,3,607574,607186,74,14,182,118,0,2111,279,20,14,12,26,0,4
5,7,245148,244996,27,7,77,41,0,809,96,3,7,4,10,0,4
5,17,264300,264141,28,8,77,46,1,884,121,5,8,5,9,1,4
5,18,268526,268376,21,10,79,40,0,921,99,4,10,6,7,0,4
5,1,450525,450279,26,10,136,74,2,1548,190,6,10,12,13,1,4
5,15,389210,388967,43,8,121,71,2,1406,191,5,8,9,14,0,4
5,12,263925,263772,29,8,64,52,1,902,117,6,8,2,8,1,4
5,0,157192,157093,12,4,59,24,1,561,81,3,4,7,3,0,4
5,10,159278,159176,21,4,48,29,0,565,69,4,4,1,8,0,4
5,16,156010,155915,18,1,46,30,1,552,77,3,1,4,4,0,4
5,6,233294,233143,29,6,55,61,1,806,92,7,6,6,11,0,4
5,5,258864,258702,25,7,92,38,0,931,122,5,7,5,6,0,4
5,19,118230,118151,13,2,42,22,0,439,69,3,2,0,5,0,4
5,11,128456,128383,11,3,32,27,0,459,48,3,3,2,5,0,4
5,8,395562,395330,36,7,126,63,1,1356,165,8,7,15,9,0,4
5,4,200455,200334,26,8,59,28,2,738,87,6,8,7,3,1,4
6,6,233294,233140,24,8,52,70,1,958,108,3,8,6,9,0,4
6,16,156010,155911,19,3,41,36,1,656,93,4,3,1,6,0,4
6,11,128456,128380,12,2,32,30,0,537,58,3,2,3,3,0,4
6,15,389210,388957,44,9,120,80,2,1652,211,10,9,8,9,0,4
6,12,263925,263769,22,10,63,61,1,1052,132,3,10,8,9,0,4
6,19,118230,118149,13,2,43,23,0,491,76,2,2,2,1,0,4
6,17,264300,264137,28,4,76,55,1,1024,142,4,4,8,9,0,4
6,7,245148,244990,22,11,76,49,0,994,117,6,11,7,8,0,4
6,5,258864,258697,24,6,89,48,0,1096,148,5,6,7,10,0,4
6,1,450525,450272,26,7,129,91,2,1811,223,7,7,10,17,0,4
6,9,180080,179991,6,5,49,29,1,703,77,0,5,4,6,0,4
6,4,200455,200332,26,2,62,33,2,862,101,2,2,8,5,0,4
6,18,268525,268371,17,9,80,48,1,1072,116,5,9,10,8,1,4
6,8,395562,395322,37,7,118,78,1,1597,191,8,7,7,15,0,4
6,14,52823,52794,3,0,10,16,0,211,38,0,0,1,5,0,4
6,10,159278,159172,19,6,45,36,0,656,78,4,6,4,7,0,4
6,3,607574,607174,72,14,179,135,0,2480,326,12,14,14,17,0,4
6,13,205909,205770,14,5,81,39,0,893,131,6,5,1,4,0,4
6,2,264625,264453,32,4,72,64,1,1063,147,7,4,2,5,0,4
6,0,157192,157086,15,4,60,27,1,643,90,7,4,4,3,0,4
7,4,200455,200322,26,10,56,41,2,972,110,10,10,2,8,0,4
7,5,258864,258691,25,5,86,57,0,1272,166,6,5,6,9,0,4
7,15,389210,388953,40,8,116,93,2,1857,232,4,8,9,13,0,4
7,16,156009,155909,17,4,41,38,2,734,105,2,4,3,2,1,4
7,2,264625,264446,33,6,66,74,1,1216,166,7,6,4,10,0,4
7,19,118230,118145,13,4,39,29,0,575,86,4,4,2,6,0,4
7,13,205909,205766,15,3,76,49,0,988,150,4,3,5,10,0,4
7,11,128456,128379,11,2,32,32,0,601,64,1,2,2,2,0,4
7,7,245148,244985,23,4,81,55,0,1137,140,5,4,11,6,0,4
7,8,395562,395317,35,7,115,88,1,1806,224,5,7,7,10,0,4
7,6,233294,233135,24,5,53,77,1,1097,119,5,5,8,7,0,4
7,18,268525,268370,16,2,82,55,1,1215,139,1,2,9,7,0,4
7,1,450525,450267,27,4,131,96,2,2077,264,5,4,7,5,0,4
7,12,263925,263769,16,6,66,68,1,1209,152,0,6,10,7,0,4
7,10,159278,159170,17,4,47,40,0,741,85,2,4,6,4,0,4
7,3,607574,607159,75,12,168,160,0,2828,375,15,12,14,25,0,4
7,0,157192,157084,15,2,57,34,1,734,102,2,2,4,7,0,4
7,9,180080,179988,8,1,51,32,1,803,87,3,1,5,3,0,4
7,17,264300,264132,29,4,67,68,1,1189,164,5,4,4,13,0,4
7,14,52823,52793,3,1,10,16,0,245,40,1,1,0,0,0,4
8,11,128456,128379,9,2,32,34,0,659,70,0,2,2,2,0,4
8,9,180080,179985,9,2,47,37,1,879,94,3,2,1,5,0,4
8,19,118230,118145,10,3,38,34,0,646,94,0,3,4,5,0,4
8,16,156009,155906,15,5,42,41,2,824,116,3,5,4,3,0,4
8,7,245148,244981,22,5,80,60,0,1286,161,4,5,4,5,0,4
8,13,205909,205762,14,5,71,57,0,1103,167,4,5,3,8,0,4
8,12,263924,263766,14,5,66,73,2,1368,171,3,5,6,5,1,4
8,10,159278,159170,12,5,49,42,0,829,99,0,5,4,2,0,4
8,2,264625,264440,30,9,65,81,1,1356,178,6,9,6,7,0,4
8,4,200455,200321,20,7,58,49,2,1101,122,1,7,10,8,0,4
8,5,258864,258688,22,6,81,67,0,1419,190,3,6,5,10,0,4
8,1,450524,450260,25,9,123,107,3,2329,298,7,9,4,11,1,4
8,3,607574,607151,64,19,164,176,0,3162,423,8,19,12,16,0,4
8,8,395562,395312,34,6,112,98,1,2039,267,5,6,7,10,0,4
8,17,264300,264127,26,8,66,73,1,1339,179,5,8,4,5,0,4
8,18,268525,268361,21,4,78,61,1,1375,161,9,4,2,6,0,4
8,0,157192,157081,12,6,52,41,1,835,117,3,6,2,7,0,4
8,6,233294,233129,26,4,56,79,1,1231,130,6,4,5,2,0,4
8,15,389210,388945,37,11,110,107,2,2101,253,8,11,8,14,0,4
8,14,52823,52792,3,1,10,17,0,268,44,1,1,1,1,0,4
9,6,233294,233125,20,10,56,83,1,1377,148,4,10,4,4,0,4
9,11,128456,128377,9,2,31,37,0,739,77,2,2,2,3,0,4
9,4,200455,200320,15,6,54,60,2,1216,141,1,6,7,11,0,4
9,12,263924,263760,15,5,61,83,2,1502,189,6,5,5,10,0,4
9,8,395562,395307,31,8,106,110,1,2258,291,5,8,6,12,0,4
9,15,389210,388932,45,5,106,122,2,2331,279,13,5,11,15,0,4
9,3,607574,607143,55,17,165,194,0,3523,462,8,17,19,18,0,4
9,0,157192,157078,12,3,54,45,1,927,129,3,3,6,4,0,4
9,2,264625,264435,30,5,68,87,1,1519,200,5,5,9,6,0,4
9,1,450524,450253,24,8,120,119,3,2604,321,7,8,9,12,0,4
9,7,245148,244979,19,5,76,69,0,1443,182,2,5,5,9,0,4
9,13,205909,205758,13,5,70,63,0,1209,183,4,5,5,6,0,4
9,10,159278,159166,13,3,52,44,0,908,107,4,3,5,2,0,4
