"t DHB"
"0 Southern"
"0 Waitemata"
"-1 Canterbury"
"-1 Counties.Manukau"
"-1 Counties.Manukau"
"-1 Counties.Manukau"
"-1 Counties.Manukau"
"-1 South.Canterbury"
"-2 Canterbury"
"-2 Northland"
"-2 Tairawhiti"
"-2 Waitemata"
"-3 Canterbury"
"-3 Canterbury"
"-3 Capital.and.Coast"
"-3 Hawkes.Bay"
"-3 Hawkes.Bay"
"-3 Lakes"
"-3 Lakes"
"-3 Waitemata"
"-3 Waitemata"
"-3 Waitemata"
"-3 Waitemata"
"-4 Auckland"
"-4 Counties.Manukau"
"-4 Northland"
"-4 South.Canterbury"
"-4 Waikato"
"-4 Waikato"
"-4 Waikato"
"-4 Waitemata"
"-4 Waitemata"
"-4 Waitemata"
"-4 Waitemata"
"-4 Waitemata"
"-5 Auckland"
"-5 Bay.of.Plenty"
"-5 Counties.Manukau"
"-5 Northland"
"-5 Waitemata"
"-5 Waitemata"
"-5 Waitemata"
"-5 Waitemata"
"-6 Auckland"
"-6 Auckland"
"-6 Auckland"
"-6 Auckland"
"-6 Auckland"
"-6 Auckland"
"-6 Auckland"
"-6 Auckland"
"-6 Canterbury"
"-6 Canterbury"
"-6 Canterbury"
"-6 Canterbury"
"-6 Canterbury"
"-6 Capital.and.Coast"
"-6 Capital.and.Coast"
"-6 Counties.Manukau"
"-6 Counties.Manukau"
"-6 Counties.Manukau"
"-6 Counties.Manukau"
"-6 Counties.Manukau"
"-6 Hawkes.Bay"
"-6 Southern"
"-6 Southern"
"-6 Waikato"
"-6 Waikato"
"-6 Waikato"
"-6 Waitemata"
"-6 Waitemata"
"-6 Waitemata"
"-6 Waitemata"
"-7 Auckland"
"-7 Auckland"
"-7 Auckland"
"-7 Canterbury"
"-7 Capital.and.Coast"
"-7 Capital.and.Coast"
"-7 Capital.and.Coast"
"-7 Counties.Manukau"
"-7 Counties.Manukau"
"-7 Hawkes.Bay"
"-7 South.Canterbury"
"-7 Southern"
"-7 Southern"
"-7 Waitemata"
"-7 Waitemata"
"-7 Waitemata"
"-7 Waitemata"
"-8 Auckland"
"-8 Bay.of.Plenty"
"-8 Canterbury"
"-8 Counties.Manukau"
"-8 Hawkes.Bay"
"-8 Northland"
"-8 Northland"
"-8 Southern"
"-8 Southern"
