"ID canton x y pop2020"
"0 Abangares 394965 1136868 20016"
"1 Acosta 482021 1083629 21976"
"2 Quepos 482269 1042921 33069"
"3 Alajuela 476248 1107595 314209"
"4 Alajuelita 488825 1095147 94548"
"5 Alvarado 520955 1096595 15433"
"6 Aserrí 489646 1091029 63529"
"7 Atenas 457976 1103921 29340"
"8 Bagaces 362664 1164390 24130"
"9 Barva 486510 1108050 47002"
"10 Belén 479626 1103384 26459"
"11 Buenos.Aires 573256 1011776 53436"
"12 Cañas 380566 1153107 32685"
"13 Carrillo 330292 1155315 45939"
"14 Cartago 509139 1090999 164121"
"15 Corredores 616183 956498 52419"
"16 Coto.Brus 613669 975401 44308"
"17 Curridabat 495735 1096405 79577"
"18 Desamparados 493103 1095059 245208"
"19 Dota 503444 1067312 7948"
"20 El.Guarco 507311 1089155 46304"
"21 Escazú 484407 1097022 70054"
"22 Esparza 426754 1105080 38183"
"23 Flores 483403 1106116 24886"
"24 Garabito 431097 1063412 26028"
"25 Goicoechea 493999 1099969 138525"
"26 Golfito 591347 955437 45573"
"27 Grecia 465900 1113747 93845"
"28 Guácimo 534693 1128802 55128"
"29 Guatuso 410655 1179594 19236"
"30 Heredia 487209 1105347 143208"
"31 Hojancha 344675 1112469 7998"
"32 Jiménez 527843 1094633 16321"
"33 La.Cruz 321536 1224210 27090"
"34 La.Unión 501644 1095514 112508"
"35 León.Cortés.Castro 495610 1070814 13769"
"36 Liberia 343164 1176152 76969"
"37 Limón 605984 1104055 99836"
"38 Los.Chiles 421691 1220124 33689"
"39 Matina 577698 1114245 46379"
"40 Montes.de.Oca 494155 1098310 62533"
"41 Montes.de.Oro 419904 1116252 14323"
"42 Mora 473560 1096261 30318"
"43 Moravia 494518 1102058 62669"
"44 Nandayure 362769 1105389 11787"
"45 Naranjo 457988 1116828 48803"
"46 Nicoya 341096 1122688 56591"
"47 Oreamuno 510605 1091276 49972"
"48 Orotina 442581 1095989 23786"
"49 Osa 552414 990515 31139"
"50 Palmares 452504 1111305 143117"
"51 Paraíso 514807 1087898 40928"
"52 Parrita 463899 1052832 62941"
"53 Pérez.Zeledón 532369 1036697 20199"
"54 Poás 473238 1114202 34006"
"55 Pococí 523740 1129718 150664"
"56 Puntarenas 408572 1103248 140102"
"57 Puriscal 465265 1089171 37983"
"58 San.Carlos 452819 1141834 200151"
"59 San.Isidro 493970 1107649 23230"
"60 San.José 491354 1098295 347398"
"61 San.Mateo 442859 1098723 7141"
"62 San.Pablo 489493 1105346 31200"
"63 San.Rafael 489189 1107374 55269"
"64 San.Ramón 448486 1115401 93872"
"65 Santa.Ana 479897 1098376 60453"
"66 Santa.Barbara 482644 1109865 42778"
"67 Santa.Cruz 326601 1134967 68939"
"68 Santo.Domingo 490132 1103502 49045"
"69 Sarapiquí 499391 1156127 83015"
"70 Siquirres 554037 1116476 64923"
"71 Talamanca 626069 1064605 43153"
"72 Tarrazú 497682 1068121 18535"
"73 Tibás 491162 1101659 84873"
"74 Tilarán 394175 1157518 21749"
"75 Turrialba 534717 1095382 73659"
"76 Turrubares 451749 1095515 6871"
"77 Upala 388919 1205285 54055"
"78 Sarchí 461679 1115547 71663"
"79 Vázquez.de.Coronado 499185 1103057 22166"
"80 Zarcero 457151 1126234 14341"
