ID1 ID2 cost weight weight2
8 9 0.227069 4.40394 19.394684
8 13 0.193776 5.160594 26.631733
8 10 0.093423 10.704056 114.576815
8 7 0.345958 2.890528 8.355151
8 3 0.198042 5.04943 25.496742
8 0 0.335123 2.983978 8.904126
8 5 0.167174 5.98179 35.78181
8 6 0.199933 5.001679 25.016795
8 1 0.236637 4.225886 17.858116
8 2 0.217664 4.594228 21.106932
8 4 0.147367 6.785774 46.046732
8 11 0.131898 7.581596 57.480603
8 12 0.196719 5.083381 25.840766
8 14 0.1913 5.227401 27.325723
8 19 0.702723 1.423036 2.025031
8 18 0.546829 1.828725 3.344233
8 17 0.452491 2.209987 4.884042
8 15 0.309359 3.23249 10.448993
8 16 0.465441 2.148499 4.616047
9 8 0.227069 4.40394 19.394684
9 13 0.174988 5.714684 32.657614
9 10 0.143124 6.986926 48.817133
9 7 0.154221 6.484195 42.044779
9 3 0.229013 4.366559 19.066835
9 0 0.366094 2.731537 7.461295
9 5 0.119525 8.366462 69.997687
9 6 0.164249 6.088325 37.067702
9 1 0.267608 3.736811 13.963754
9 2 0.248636 4.021951 16.176089
9 4 0.171767 5.821835 33.893763
9 11 0.103927 9.622145 92.585678
9 12 0.17682 5.655482 31.984481
9 14 0.134911 7.412309 54.94233
9 19 0.683935 1.462128 2.137818
9 18 0.528041 1.893793 3.586451
9 17 0.433703 2.305725 5.316368
9 15 0.290571 3.441503 11.843945
9 16 0.446653 2.238875 5.01256
13 8 0.193776 5.160594 26.631733
13 9 0.174988 5.714684 32.657614
13 10 0.109831 9.104883 82.898897
13 7 0.326629 3.061574 9.373238
13 3 0.353972 2.825081 7.98108
13 0 0.491053 2.036439 4.147086
13 5 0.246502 4.056755 16.457265
13 6 0.291226 3.433755 11.790674
13 1 0.392567 2.547337 6.488927
13 2 0.373594 2.676699 7.164719
13 4 0.297856 3.357331 11.271675
13 11 0.07454 13.415666 179.980082
13 12 0.012081 82.771665 6851.148445
13 14 0.053941 18.538685 343.68286
13 19 0.509581 1.962397 3.851002
13 18 0.353687 2.827358 7.993953
13 17 0.259349 3.855804 14.867228
13 15 0.116217 8.604601 74.039161
13 16 0.272299 3.672432 13.486755
10 8 0.093423 10.704056 114.576815
10 9 0.143124 6.986926 48.817133
10 13 0.109831 9.104883 82.898897
10 7 0.294766 3.392522 11.509203
10 3 0.257996 3.876026 15.023576
10 0 0.395077 2.531151 6.406726
10 5 0.164657 6.073228 36.884097
10 6 0.209381 4.775982 22.810001
10 1 0.296591 3.371649 11.368015
10 2 0.277618 3.602066 12.974877
10 4 0.207321 4.823434 23.265513
10 11 0.047953 20.853585 434.871996
10 12 0.112774 8.867253 78.628178
10 14 0.107355 9.314917 86.767676
10 19 0.618778 1.616088 2.611742
10 18 0.462884 2.160367 4.667187
10 17 0.368546 2.713362 7.362335
10 15 0.225414 4.43628 19.680584
10 16 0.381496 2.621257 6.87099
7 8 0.345958 2.890528 8.355151
7 9 0.154221 6.484195 42.044779
7 13 0.326629 3.061574 9.373238
7 10 0.294766 3.392522 11.509203
7 3 0.270829 3.692362 13.633541
7 0 0.40778 2.452302 6.013784
7 5 0.182956 5.465785 29.874806
7 6 0.157261 6.358875 40.435291
7 1 0.309294 3.233172 10.453399
7 2 0.290321 3.444457 11.864286
7 4 0.225684 4.430975 19.633541
7 11 0.255568 3.912846 15.310363
7 12 0.328461 3.0445 9.268983
7 14 0.286552 3.489765 12.178459
7 19 0.835576 1.196779 1.43228
7 18 0.679682 1.471275 2.164651
7 17 0.585345 1.708395 2.918615
7 15 0.442212 2.261358 5.113739
7 16 0.598294 1.671418 2.793637
3 8 0.198042 5.04943 25.496742
3 9 0.229013 4.366559 19.066835
3 13 0.353972 2.825081 7.98108
3 10 0.257996 3.876026 15.023576
3 7 0.270829 3.692362 13.633541
3 0 0.146393 6.830927 46.661562
3 5 0.127213 7.86081 61.792338
3 6 0.113836 8.78457 77.168665
3 1 0.047907 20.87392 435.720551
3 2 0.028934 34.561005 1194.463096
3 4 0.05795 17.256279 297.779174
3 11 0.287624 3.476764 12.087889
3 12 0.356916 2.801783 7.84999
3 14 0.34128 2.930144 8.585745
3 19 0.862919 1.158857 1.34295
3 18 0.707025 1.414377 2.000461
3 17 0.612687 1.632154 2.663925
3 15 0.469555 2.129676 4.535518
3 16 0.625637 1.59837 2.554787
0 8 0.335123 2.983978 8.904126
0 9 0.366094 2.731537 7.461295
0 13 0.491053 2.036439 4.147086
0 10 0.395077 2.531151 6.406726
0 7 0.40778 2.452302 6.013784
0 3 0.146393 6.830927 46.661562
0 5 0.264294 3.783661 14.316091
0 6 0.250787 3.98745 15.89976
0 1 0.099803 10.019776 100.395905
0 2 0.118023 8.472919 71.790359
0 4 0.195031 5.127394 26.290168
0 11 0.424705 2.354577 5.544034
0 12 0.493996 2.024306 4.097815
0 14 0.478361 2.090471 4.370069
0 19 1 1 1
0 18 0.844106 1.184685 1.403479
0 17 0.749768 1.333745 1.778876
0 15 0.606636 1.648435 2.717338
0 16 0.762718 1.3111 1.718983
5 8 0.167174 5.98179 35.78181
5 9 0.119525 8.366462 69.997687
5 13 0.246502 4.056755 16.457265
