ID name x y pop
0 Northland 1640809 6107096 178500
1 Waitemata 1704007 6060146 622350
2 Auckland 1794796 5977673 538840
3 Counties.Manukau 1752361 5844360 557790
4 Waikato 1868112 5737176 417130
5 Lakes 1897334 5643762 110040
6 Bay.of.Plenty 1981173 5745420 236820
7 Tairawhiti 2043079 5706142 48965
8 Taranaki 1713209 5586361 119640
9 Hawkes.Bay 1954114 5586840 165360
10 Whanganui 1821171 5588135 64565
11 MidCentral 1825104 5499583 178240
12 Hutt.Valley 1790801 5403979 149270
13 Capital.and.Coast 1727799 5412778 316620
14 Wairarapa 1854566 5434609 44845
15 Nelson.Marlborough 1581787 5353746 150280
16 West.Coast 1466785 5271651 32445
17 Canterbury 1493549 5180880 562870
18 South.Canterbury 1352314 5083543 60025
19 Southern 1279834 4972310 328230

