ticks,who,name,pop.0,susceptible,cum.cases,cum.infected,cum.recovered,new.cases,new.infected,new.recovered,new.tests,alert.level
16,5,Lakes,110040,110039,1,1,0,0,0,0,121,4
16,2,Auckland,538840,538750,78,104,0,13,15,0,549,4
16,0,Northland,178500,178471,29,33,0,7,8,0,155,4
16,17,Canterbury,562870,562738,103,153,0,8,16,0,573,4
16,15,Nelson.Marlborough,150280,150271,7,10,0,2,4,0,172,4
16,3,Counties.Manukau,557790,557716,59,84,0,7,11,0,571,4
16,18,South.Canterbury,60025,60016,5,10,0,0,0,0,54,4
16,16,West.Coast,32445,32425,12,21,0,4,4,0,33,4
16,13,Capital.and.Coast,316620,316587,26,38,0,4,4,0,306,4
16,4,Waikato,417130,417091,28,47,0,4,6,0,417,4
16,7,Tairawhiti,48965,48962,2,5,0,0,0,0,55,4
16,19,Southern,328230,328201,30,39,0,1,2,0,328,4
16,8,Taranaki,119640,119640,0,0,0,0,0,0,106,4
16,11,MidCentral,178240,178214,24,29,0,7,8,0,180,4
16,10,Whanganui,64565,64556,5,9,0,0,0,0,49,4
16,9,Hawkes.Bay,165360,165358,0,4,0,0,0,0,167,4
16,14,Wairarapa,44845,44835,4,11,0,0,0,0,52,4
16,1,Waitemata,622350,622298,42,60,0,5,6,0,618,4
16,6,Bay.of.Plenty,236820,236803,18,20,0,1,1,0,215,4
16,12,Hutt.Valley,149270,149246,18,26,0,2,4,0,172,4
17,7,Tairawhiti,48965,48961,3,6,0,1,1,0,56,4
17,2,Auckland,538840,538739,89,115,0,11,11,0,553,4
17,9,Hawkes.Bay,165360,165358,0,4,0,0,0,0,176,4
17,0,Northland,178500,178466,30,38,0,1,5,0,189,4
17,16,West.Coast,32445,32424,13,22,0,1,1,0,30,4
17,4,Waikato,417130,417086,32,52,0,4,5,0,448,4
17,19,Southern,328230,328196,32,44,0,2,5,0,342,4
17,13,Capital.and.Coast,316620,316583,29,42,0,3,4,0,312,4
17,3,Counties.Manukau,557790,557705,68,95,0,9,11,0,552,4
17,1,Waitemata,622350,622291,47,67,0,5,7,0,661,4
17,11,MidCentral,178240,178210,27,33,0,3,4,0,189,4
17,12,Hutt.Valley,149270,149240,23,32,0,5,6,0,149,4
17,17,Canterbury,562870,562713,123,178,0,20,25,0,583,4
17,6,Bay.of.Plenty,236820,236798,22,25,0,4,5,0,250,4
17,18,South.Canterbury,60025,60015,6,11,0,1,1,0,57,4
17,14,Wairarapa,44845,44833,5,13,0,1,2,0,50,4
17,8,Taranaki,119640,119640,0,0,0,0,0,0,119,4
17,15,Nelson.Marlborough,150280,150271,7,10,0,0,0,0,159,4
17,5,Lakes,110040,110039,1,1,0,0,0,0,109,4
17,10,Whanganui,64565,64555,5,10,0,0,1,0,75,4
18,3,Counties.Manukau,557790,557689,78,111,0,10,16,0,563,4
18,9,Hawkes.Bay,165360,165357,1,5,0,1,1,0,180,4
18,18,South.Canterbury,60025,60012,9,14,0,3,3,0,64,4
18,11,MidCentral,178240,178206,29,37,0,2,4,0,185,4
18,10,Whanganui,64565,64555,5,10,0,0,0,0,53,4
18,15,Nelson.Marlborough,150280,150270,8,11,0,1,1,0,177,4
18,8,Taranaki,119640,119640,0,0,0,0,0,0,116,4
18,19,Southern,328230,328192,35,48,0,3,4,0,285,4
18,14,Wairarapa,44845,44833,5,13,0,0,0,0,51,4
18,4,Waikato,417130,417082,34,56,0,2,4,0,399,4
18,6,Bay.of.Plenty,236820,236791,27,32,0,5,7,0,234,4
18,17,Canterbury,562870,562703,131,188,0,8,10,0,574,4
18,12,Hutt.Valley,149270,149236,25,36,0,2,4,0,145,4
18,2,Auckland,538840,538729,94,125,0,5,10,0,538,4
18,16,West.Coast,32445,32422,14,24,0,1,2,0,26,4
18,0,Northland,178500,178463,32,41,0,2,3,0,196,4
18,13,Capital.and.Coast,316620,316578,32,47,0,3,5,0,312,4
18,1,Waitemata,622350,622281,55,77,0,8,10,0,649,4
18,7,Tairawhiti,48965,48960,3,7,0,0,1,0,58,4
18,5,Lakes,110040,110039,1,1,0,0,0,0,121,4
19,8,Taranaki,119640,119640,0,0,0,0,0,0,106,4
19,3,Counties.Manukau,557790,557673,88,127,0,10,16,0,534,4
19,18,South.Canterbury,60025,60012,9,14,0,0,0,0,43,4
19,0,Northland,178500,178460,33,44,0,1,3,0,198,4
19,16,West.Coast,32445,32421,15,25,0,1,1,0,38,4
19,12,Hutt.Valley,149270,149235,26,37,0,1,1,0,155,4
19,1,Waitemata,622350,622272,62,86,1,7,9,1,601,4
19,15,Nelson.Marlborough,150280,150270,8,11,0,0,0,0,148,4
19,19,Southern,328230,328191,36,49,0,1,1,0,322,4
19,10,Whanganui,64565,64553,5,12,0,0,2,0,70,4
19,4,Waikato,417130,417077,38,61,0,4,5,0,422,4
19,7,Tairawhiti,48965,48957,6,10,0,3,3,0,57,4
19,5,Lakes,110040,110039,1,1,0,0,0,0,115,4
19,11,MidCentral,178240,178199,34,44,0,5,7,0,179,4
19,9,Hawkes.Bay,165360,165357,1,5,0,0,0,0,181,4
19,14,Wairarapa,44845,44831,6,15,0,1,2,0,39,4
19,6,Bay.of.Plenty,236820,236790,27,33,0,0,1,0,259,4
19,2,Auckland,538840,538710,106,144,0,12,19,0,547,4
19,13,Capital.and.Coast,316620,316574,34,51,0,2,4,0,318,4
19,17,Canterbury,562870,562691,137,200,0,6,12,0,596,4
20,12,Hutt.Valley,149270,149231,28,41,0,2,4,0,141,4
20,6,Bay.of.Plenty,236820,236786,30,37,0,3,4,0,220,4
20,16,West.Coast,32445,32420,15,26,0,0,1,0,30,4
20,10,Whanganui,64565,64553,5,12,0,0,0,0,58,4
20,13,Capital.and.Coast,316620,316569,39,56,0,5,5,0,347,4
20,8,Taranaki,119640,119640,0,0,0,0,0,0,139,4
20,14,Wairarapa,44845,44831,6,15,0,0,0,0,36,4
20,2,Auckland,538840,538696,116,158,1,10,14,1,569,4
20,5,Lakes,110040,110039,1,1,0,0,0,0,121,4
20,19,Southern,328230,328189,37,51,0,1,2,0,363,4
20,7,Tairawhiti,48965,48957,6,10,0,0,0,0,45,4
20,4,Waikato,417130,417075,39,63,0,1,2,0,426,4
20,9,Hawkes.Bay,165360,165357,1,5,0,0,0,0,152,4
20,11,MidCentral,178240,178195,38,48,0,4,4,0,189,4
20,0,Northland,178500,178457,36,47,0,3,3,0,188,4
20,15,Nelson.Marlborough,150280,150268,10,13,0,2,2,0,154,4
20,18,South.Canterbury,60025,60012,9,14,0,0,0,0,63,4
20,17,Canterbury,562870,562669,150,222,0,13,22,0,564,4
20,1,Waitemata,622350,622263,67,95,1,5,9,0,620,4
20,3,Counties.Manukau,557790,557661,98,139,0,10,12,0,575,4
21,1,Waitemata,622350,622261,69,97,1,2,2,0,593,4
21,5,Lakes,110040,110039,1,1,0,0,0,0,115,4
21,12,Hutt.Valley,149270,149228,30,44,0,2,3,0,145,4
21,2,Auckland,538840,538688,122,166,2,6,8,1,545,4
21,0,Northland,178500,178453,39,51,0,3,4,0,198,4
21,11,MidCentral,178240,178193,39,50,0,1,2,0,196,4
