ticks,who,name,pop.0,susceptible,exposed,presymptomatic,infected,recovered,dead,new.exposed,new.presymptomatic,new.infected,new.recovered,new.dead,new.tests,alert.level
56,12,Hutt.Valley,149269,149223,11,10,9,16,1,2,1,2,1,0,174,4
56,4,Waikato,417128,416826,70,56,63,113,2,12,13,10,11,0,467,4
56,7,Tairawhiti,48965,48949,3,4,4,5,0,1,2,1,0,0,53,4
56,19,Southern,328228,327991,56,41,71,69,2,9,7,10,4,0,372,4
56,10,Whanganui,64565,64550,3,3,2,7,0,0,1,0,1,0,59,4
56,14,Wairarapa,44845,44800,15,9,8,13,0,2,1,0,0,0,56,4
56,3,Counties.Manukau,557787,557437,82,71,82,115,3,20,18,15,6,0,619,4
56,9,Hawkes.Bay,165359,165133,52,40,60,74,1,12,9,8,3,0,195,4
56,8,Taranaki,119640,119614,5,3,6,12,0,0,1,1,1,0,122,4
56,5,Lakes,110039,109887,38,33,35,46,1,9,9,8,4,0,124,4
56,16,West.Coast,32445,32440,1,1,0,3,0,0,0,0,0,0,30,4
56,13,Capital.and.Coast,316620,316395,58,32,46,89,0,15,7,8,3,0,338,4
56,17,Canterbury,562869,562662,49,46,41,71,1,15,11,7,0,0,591,4
56,18,South.Canterbury,60025,59999,7,7,7,5,0,2,3,0,1,0,71,4
56,0,Northland,178500,178446,18,13,12,11,0,3,4,1,2,0,199,4
56,15,Nelson.Marlborough,150280,150176,29,17,19,39,0,6,4,5,6,0,153,4
56,1,Waitemata,622349,621508,176,150,188,327,1,44,27,27,21,0,794,4
56,11,MidCentral,178240,178225,5,1,2,7,0,1,0,0,0,0,182,4
56,2,Auckland,538839,538552,69,52,68,98,1,11,17,9,8,0,586,4
56,6,Bay.of.Plenty,236818,236637,39,36,42,64,2,8,12,9,2,0,255,4
57,2,Auckland,538839,538541,64,58,73,103,1,11,16,10,5,0,623,4
57,14,Wairarapa,44845,44800,10,12,9,14,0,0,5,2,1,0,54,4
57,11,MidCentral,178240,178225,4,2,1,8,0,0,1,0,1,0,169,4
57,9,Hawkes.Bay,165359,165119,55,45,59,81,1,14,11,6,7,0,242,4
57,10,Whanganui,64565,64550,3,3,2,7,0,0,0,0,0,0,66,4
57,17,Canterbury,562869,562655,40,54,41,79,1,7,16,8,8,0,636,4
57,1,Waitemata,622349,621470,188,148,199,344,1,38,26,28,17,0,825,4
57,4,Waikato,417127,416813,69,58,69,118,3,13,14,12,5,1,510,4
57,12,Hutt.Valley,149269,149221,12,11,7,18,1,2,1,0,2,0,177,4
57,6,Bay.of.Plenty,236818,236625,42,34,48,69,2,12,9,11,5,0,300,4
57,15,Nelson.Marlborough,150280,150170,29,19,22,40,0,6,6,4,1,0,175,4
57,7,Tairawhiti,48965,48947,5,4,4,5,0,2,0,0,0,0,57,4
57,16,West.Coast,32445,32440,1,1,0,3,0,0,0,0,0,0,29,4
57,5,Lakes,110039,109883,36,33,38,49,1,4,6,6,3,0,165,4
57,19,Southern,328228,327978,57,47,70,76,2,13,12,6,7,0,356,4
57,3,Counties.Manukau,557787,557424,79,77,83,124,3,13,16,10,9,0,640,4
57,18,South.Canterbury,60025,59996,9,5,9,6,0,3,1,3,1,0,54,4
57,8,Taranaki,119640,119614,5,2,6,13,0,0,0,1,1,0,128,4
57,0,Northland,178500,178443,17,13,15,12,0,3,4,4,1,0,182,4
57,13,Capital.and.Coast,316620,316385,55,36,49,95,0,10,13,9,6,0,342,4
58,12,Hutt.Valley,149269,149220,11,13,7,18,1,1,2,0,0,0,147,4
58,1,Waitemata,622348,621437,191,146,213,361,2,33,30,32,17,1,816,4
58,17,Canterbury,562869,562649,38,54,46,82,1,6,8,8,3,0,624,4
58,11,MidCentral,178240,178225,4,2,1,8,0,0,0,0,0,0,187,4
58,4,Waikato,417127,416804,64,61,75,123,3,9,14,11,5,0,451,4
58,14,Wairarapa,44845,44800,9,10,11,15,0,0,1,3,1,0,64,4
58,8,Taranaki,119640,119613,5,3,6,13,0,1,1,0,0,0,116,4
58,0,Northland,178500,178438,20,14,15,13,0,5,2,1,1,0,192,4
58,13,Capital.and.Coast,316620,316381,48,43,49,99,0,4,11,4,4,0,357,4
58,18,South.Canterbury,60025,59995,7,7,9,7,0,1,3,1,1,0,52,4
58,3,Counties.Manukau,557787,557410,77,71,100,129,3,14,16,22,5,0,645,4
58,19,Southern,328228,327963,62,46,76,81,2,15,10,11,5,0,402,4
58,10,Whanganui,64565,64550,0,6,2,7,0,0,3,0,0,0,67,4
58,6,Bay.of.Plenty,236817,236621,40,36,46,74,3,4,6,4,5,1,248,4
58,2,Auckland,538839,538532,58,62,79,108,1,9,15,11,5,0,583,4
58,5,Lakes,110039,109878,34,33,38,56,1,5,7,7,7,0,156,4
58,7,Tairawhiti,48965,48945,7,4,3,6,0,2,0,0,1,0,51,4
58,16,West.Coast,32445,32440,1,1,0,3,0,0,0,0,0,0,29,4
58,9,Hawkes.Bay,165359,165110,54,46,64,85,1,9,10,9,4,0,234,4
58,15,Nelson.Marlborough,150280,150163,28,23,25,41,0,7,8,4,1,0,170,4
59,4,Waikato,417127,416792,56,69,74,136,3,12,20,12,13,0,507,4
59,0,Northland,178500,178437,18,14,16,15,0,1,3,3,2,0,167,4
59,8,Taranaki,119640,119613,5,3,6,13,0,0,0,0,0,0,106,4
59,3,Counties.Manukau,557787,557403,75,71,98,140,3,7,9,9,11,0,650,4
59,2,Auckland,538839,538524,54,67,79,115,1,8,12,7,7,0,582,4
59,10,Whanganui,64565,64550,0,4,4,7,0,0,0,2,0,0,83,4
59,11,MidCentral,178240,178225,4,1,2,8,0,0,0,1,0,0,188,4
59,12,Hutt.Valley,149269,149219,9,12,11,18,1,1,3,4,0,0,172,4
59,5,Lakes,110039,109870,34,32,43,60,1,8,8,9,4,0,140,4
59,6,Bay.of.Plenty,236816,236613,39,36,47,81,4,8,9,9,7,1,289,4
59,13,Capital.and.Coast,316620,316374,44,45,54,103,0,7,11,9,4,0,354,4
59,16,West.Coast,32445,32440,0,2,0,3,0,0,1,0,0,0,30,4
59,19,Southern,328228,327955,49,57,80,87,2,8,21,10,6,0,405,4
59,18,South.Canterbury,60025,59995,7,6,9,8,0,0,0,1,1,0,72,4
