ticks,who,name,pop.0,susceptible,cum.cases,cum.infected,cum.recovered,new.cases,new.infected,new.recovered,new.tests,alert.level
20,12,Hutt.Valley,149270,149126,104,169,0,8,15,0,163,4
20,11,MidCentral,178240,178231,7,10,0,1,1,0,175,4
20,4,Waikato,417130,417080,39,59,0,3,6,0,417,4
20,3,Counties.Manukau,557790,557685,87,127,0,6,11,0,545,4
20,15,Nelson.Marlborough,150280,150215,47,76,0,9,11,0,126,4
20,0,Northland,178500,178465,26,37,1,6,9,0,188,4
20,10,Whanganui,64565,64561,4,4,0,1,1,0,75,4
20,14,Wairarapa,44845,44841,1,4,0,0,0,0,56,4
20,8,Taranaki,119640,119632,4,10,0,0,1,0,111,4
20,13,Capital.and.Coast,316620,316386,199,262,0,28,37,0,344,4
20,19,Southern,328230,328119,79,121,2,11,18,1,321,4
20,6,Bay.of.Plenty,236820,236790,18,35,0,4,8,0,241,4
20,16,West.Coast,32445,32439,3,9,0,0,0,0,25,4
20,17,Canterbury,562870,562748,93,141,2,9,14,1,516,4
20,2,Auckland,538840,538709,101,151,2,13,22,0,534,4
20,1,Waitemata,622350,622224,92,143,0,14,22,0,624,4
20,5,Lakes,110040,109999,41,47,0,2,3,0,121,4
20,7,Tairawhiti,48965,48915,28,58,0,2,8,0,50,4
20,9,Hawkes.Bay,165360,165322,32,42,0,9,9,0,145,4
20,18,South.Canterbury,60025,59975,33,57,0,6,15,0,59,4
21,6,Bay.of.Plenty,236820,236787,20,38,0,2,3,0,246,4
21,3,Counties.Manukau,557790,557666,101,146,0,14,19,0,534,4
21,1,Waitemata,622350,622204,105,163,0,13,20,0,610,4
21,9,Hawkes.Bay,165360,165319,34,45,0,2,3,0,171,4
21,4,Waikato,417130,417074,43,65,0,4,6,0,430,4
21,5,Lakes,110040,109991,49,55,0,8,8,0,106,4
21,13,Capital.and.Coast,316620,316328,242,320,0,43,58,0,302,4
21,7,Tairawhiti,48965,48909,32,64,0,4,6,0,54,4
21,14,Wairarapa,44845,44840,1,5,0,0,1,0,47,4
21,10,Whanganui,64565,64560,5,5,0,1,1,0,54,4
21,12,Hutt.Valley,149270,149102,115,193,0,11,24,0,148,4
21,2,Auckland,538840,538684,120,176,2,19,25,0,526,4
21,8,Taranaki,119640,119631,5,11,0,1,1,0,122,4
21,17,Canterbury,562870,562737,102,152,2,9,11,0,546,4
21,11,MidCentral,178240,178229,8,12,0,1,2,0,188,4
21,16,West.Coast,32445,32436,4,12,0,1,3,0,25,4
21,19,Southern,328230,328106,87,134,2,8,13,0,323,4
21,18,South.Canterbury,60025,59971,37,61,0,4,4,0,57,4
21,15,Nelson.Marlborough,150280,150211,49,80,0,2,4,0,157,4
21,0,Northland,178500,178460,29,42,1,3,5,0,190,4
22,17,Canterbury,562870,562723,111,166,2,9,14,0,572,4
22,7,Tairawhiti,48965,48900,39,73,0,7,9,0,46,4
22,12,Hutt.Valley,149270,149075,135,220,0,20,27,0,155,4
22,5,Lakes,110040,109985,52,61,0,3,6,0,112,4
22,18,South.Canterbury,60025,59964,42,68,0,5,7,0,57,4
22,4,Waikato,417130,417069,47,70,1,4,5,1,401,4
22,16,West.Coast,32445,32435,5,13,0,1,1,0,30,4
22,19,Southern,328230,328094,95,146,2,8,12,0,329,4
22,3,Counties.Manukau,557790,557643,117,169,0,16,23,0,546,4
22,2,Auckland,538840,538660,137,200,2,17,24,0,545,4
22,10,Whanganui,64565,64560,5,5,0,0,0,0,60,4
22,1,Waitemata,622350,622187,121,180,0,16,17,0,666,4
22,9,Hawkes.Bay,165360,165316,36,48,0,2,3,0,169,4
22,11,MidCentral,178240,178227,8,14,0,0,2,0,178,4
22,8,Taranaki,119640,119631,5,11,0,0,0,0,121,4
22,6,Bay.of.Plenty,236820,236784,22,41,0,2,3,0,255,4
22,15,Nelson.Marlborough,150280,150203,56,88,0,7,8,0,155,4
22,13,Capital.and.Coast,316620,316285,267,363,0,25,43,0,302,4
22,0,Northland,178500,178456,32,46,1,3,4,0,168,4
22,14,Wairarapa,44845,44840,1,5,0,0,0,0,44,4
23,0,Northland,178500,178455,33,47,1,1,1,0,183,4
23,19,Southern,328230,328086,101,154,3,6,8,1,325,4
23,6,Bay.of.Plenty,236820,236777,26,48,0,4,7,0,234,4
23,10,Whanganui,64565,64556,9,9,0,4,4,0,45,4
23,14,Wairarapa,44845,44840,1,5,0,0,0,0,54,4
23,17,Canterbury,562870,562705,122,184,2,11,18,0,569,4
23,12,Hutt.Valley,149270,149051,150,244,0,15,24,0,164,4
23,18,South.Canterbury,60025,59955,50,77,0,8,9,0,53,4
23,3,Counties.Manukau,557790,557620,136,192,0,19,23,0,599,4
23,5,Lakes,110040,109977,55,69,1,3,8,1,122,4
23,2,Auckland,538840,538638,153,222,2,16,22,0,569,4
