ID name x y pop
35 Porirua.City 1754803 5444679 59100
36 Upper.Hutt.City 1773987 5445388 46000
37 Lower.Hutt.City 1760219 5434877 108700
38 Wellington.City 1749100 5428463 210400
39 Masterton.District 1824544 5463335 26800
40 Carterton.District 1812507 5455416 9690
41 South.Wairarapa.District 1800827 5443083 11100
42 Tasman.District 1605286 5434837 54800
0 Far.North.District 1661974 6104072 68500
1 Whangarei.District 1721923 6044508 96000
2 Kaipara.District 1696226 6013981 24100
3 Thames-Coromandel.District 1837677 5900170 31500
4 Hauraki.District 1839725 5862162 21000
5 Waikato.District 1785683 5838225 79900
6 Matamata-Piako.District 1835194 5825452 36000
7 Hamilton.City 1800871 5815452 169500
8 Waipa.District 1810124 5797080 56200
9 Ōtorohanga.District 1790241 5774620 10500
10 South.Waikato.District 1849099 5771898 25100
23 Central.Hawke's.Bay.District 1904903 5568810 14850
24 New.Plymouth.District 1695862 5676313 84400
25 Stratford.District 1711134 5645373 9860
26 South.Taranaki.District 1708671 5619311 28600
27 Ruapehu.District 1802853 5669639 12750
28 Whanganui.District 1775205 5577837 47300
29 Rangitikei.District 1809324 5568325 15750
30 Manawatu.District 1815966 5543552 31700
31 Palmerston.North.City 1822162 5529590 88300
32 Tararua.District 1854975 5533899 18650
33 Horowhenua.District 1793597 5504781 35000
34 Kapiti.Coast.District 1771493 5472047 56000
11 Waitomo.District 1785591 5753009 9490
12 Taupo.District 1861966 5710310 39300
13 Western.Bay.of.Plenty.District 1879557 5826857 53900
14 Tauranga.City 1881487 5825032 144700
15 Rotorua.District 1885518 5774443 75100
16 Whakatane.District 1946637 5786008 37100
17 Kawerau.District 1924725 5778172 7490
18 Ōpōtiki.District 1979259 5787601 9720
19 Gisborne.District 2038766 5713797 49300
20 Wairoa.District 1986371 5670970 8680
21 Hastings.District 1930906 5605005 85000
22 Napier.City 1936851 5621688 65000
43 Nelson.City 1621899 5428781 52900
44 Marlborough.District 1679129 5408151 49200
45 Kaikoura.District 1655830 5305721 4110
46 Buller.District 1490283 5372488 9840
47 Grey.District 1456087 5299058 13750
48 Westland.District 1419121 5250185 8960
49 Hurunui.District 1587134 5244241 12950
50 Waimakariri.District 1568013 5202021 62800
51 Christchurch.City 1570759 5179833 385500
52 Selwyn.District 1544814 5171648 65600
53 Ashburton.District 1499844 5141411 34800
54 Timaru.District 1460651 5088516 47900
55 Mackenzie.District 1392391 5111453 5140
56 Waimate.District 1446643 5045173 8080
57 Waitaki.District 1435380 5003721 23200
58 Central.Otago.District 1315931 4989515 23100
59 Queenstown-Lakes.District 1271815 5018598 41700
60 Dunedin.City 1405074 4917548 131700
61 Clutha.District 1350001 4881249 18350
62 Southland.District 1227217 4891543 32100
63 Gore.District 1285924 4885546 12800
64 Invercargill.City 1242280 4848618 56200
65 Auckland 1757446 5921056 1642800

