ticks,who,name,pop.0,susceptible,cum.cases,cum.infected,cum.recovered,new.cases,new.infected,new.recovered,new.tests,alert.level
17,14,Wairarapa,44845,44839,6,8,0,0,0,0,42,4
17,6,Bay.of.Plenty,236820,236801,16,22,0,3,4,0,250,4
17,16,West.Coast,32445,32443,1,2,0,0,0,0,29,4
17,11,MidCentral,178240,178239,1,1,0,0,0,0,176,4
17,19,Southern,328230,328210,16,27,0,3,3,0,342,4
17,7,Tairawhiti,48965,48964,1,1,0,0,0,0,38,4
17,15,Nelson.Marlborough,150280,150273,6,9,0,2,2,0,160,4
17,4,Waikato,417130,417114,13,17,0,4,5,0,398,4
17,9,Hawkes.Bay,165360,165357,1,3,0,0,0,0,152,4
17,17,Canterbury,562870,562792,46,89,0,6,14,0,564,4
17,1,Waitemata,622350,622193,124,177,0,20,29,0,621,4
17,8,Taranaki,119640,119619,18,25,0,2,3,0,128,4
17,18,South.Canterbury,60025,60022,4,4,0,1,1,0,63,4
17,3,Counties.Manukau,557790,557744,45,55,0,5,6,0,564,4
17,0,Northland,178500,178486,13,15,0,3,3,0,177,4
17,13,Capital.and.Coast,316620,316593,20,32,0,2,3,0,308,4
17,12,Hutt.Valley,149270,149260,10,12,1,1,1,0,159,4
17,10,Whanganui,64565,64548,9,21,0,1,2,0,64,4
17,2,Auckland,538840,538751,77,105,0,7,11,0,508,4
17,5,Lakes,110040,110006,24,38,0,3,6,0,112,4
18,19,Southern,328230,328209,16,28,0,0,1,0,345,4
18,15,Nelson.Marlborough,150280,150272,6,10,0,0,1,0,148,4
18,12,Hutt.Valley,149270,149257,11,15,1,1,3,0,159,4
18,13,Capital.and.Coast,316620,316590,22,35,0,2,3,0,325,4
18,18,South.Canterbury,60025,60021,5,5,0,1,1,0,67,4
18,6,Bay.of.Plenty,236820,236796,20,27,0,4,5,0,263,4
18,1,Waitemata,622350,622169,140,201,0,16,24,0,543,4
18,8,Taranaki,119640,119615,21,29,0,3,4,0,150,4
18,3,Counties.Manukau,557790,557735,50,64,1,5,9,1,582,4
18,9,Hawkes.Bay,165360,165357,1,3,0,0,0,0,173,4
18,5,Lakes,110040,110001,29,43,0,5,5,0,116,4
18,14,Wairarapa,44845,44839,6,8,0,0,0,0,48,4
18,17,Canterbury,562870,562785,51,96,0,5,7,0,553,4
18,16,West.Coast,32445,32442,1,3,0,0,1,0,28,4
18,11,MidCentral,178240,178239,1,1,0,0,0,0,165,4
18,4,Waikato,417130,417112,15,19,0,2,2,0,425,4
18,2,Auckland,538840,538740,86,116,0,9,11,0,540,4
18,0,Northland,178500,178480,18,21,0,5,6,0,187,4
18,10,Whanganui,64565,64548,9,21,0,0,0,0,54,4
18,7,Tairawhiti,48965,48964,1,1,0,0,0,0,49,4
19,3,Counties.Manukau,557790,557727,57,72,1,7,8,0,564,4
19,5,Lakes,110040,109995,35,49,0,6,6,0,98,4
19,11,MidCentral,178240,178239,1,1,0,0,0,0,165,4
19,0,Northland,178500,178475,23,26,0,5,5,0,190,4
19,6,Bay.of.Plenty,236820,236792,24,31,0,4,4,0,200,4
19,10,Whanganui,64565,64547,10,22,0,1,1,0,59,4
19,2,Auckland,538840,538734,90,122,0,4,6,0,516,4
19,16,West.Coast,32445,32441,2,4,0,1,1,0,26,4
