ticks,who,name,pop.0,susceptible,exposed,presymptomatic,infected,recovered,dead,new.exposed,new.presymptomatic,new.infected,new.recovered,new.dead,new.tests,alert.level
24,27,Palmerston.North.City,88300,88280,5,4,6,5,0,5,3,1,2,0,92,4
24,5,Carterton.District,9690,9685,1,2,1,1,0,1,2,0,1,0,12,4
24,56,Waimate.District,8080,8080,0,0,0,0,0,0,0,0,0,0,1,4
24,42,Napier.City,65000,65000,0,0,0,0,0,0,0,0,0,0,66,4
24,29,Horowhenua.District,35000,35000,0,0,0,0,0,0,0,0,0,0,39,4
24,16,Waipa.District,56200,56200,0,0,0,0,0,0,0,0,0,0,45,4
24,38,Ōpōtiki.District,9720,9720,0,0,0,0,0,0,0,0,0,0,8,4
24,35,Rotorua.District,75100,75099,0,0,1,0,0,0,0,0,0,0,73,4
24,23,Ruapehu.District,12750,12750,0,0,0,0,0,0,0,0,0,0,13,4
24,63,Gore.District,12800,12573,32,40,78,77,0,32,31,24,12,0,102,4
24,49,Hurunui.District,12950,12948,0,1,0,1,0,0,1,0,0,0,13,4
24,8,Far.North.District,68500,68176,44,54,110,116,0,44,33,33,11,0,195,4
24,19,Central.Hawke's.Bay.District,14850,14836,1,2,3,8,0,1,2,1,1,0,9,4
24,43,Nelson.City,52900,52900,0,0,0,0,0,0,0,0,0,0,59,4
24,52,Selwyn.District,65600,65535,12,15,24,14,0,12,6,6,1,0,85,4
24,48,Westland.District,8960,8960,0,0,0,0,0,0,0,0,0,0,6,4
24,41,Hastings.District,85000,84991,2,0,3,4,0,2,0,1,0,0,86,4
24,45,Kaikoura.District,4110,4109,0,0,0,1,0,0,0,0,0,0,7,4
24,31,Waitomo.District,9490,9490,0,0,0,0,0,0,0,0,0,0,12,4
24,3,Wellington.City,210399,210311,6,19,27,36,1,6,9,10,3,1,244,4
24,62,Southland.District,32100,31936,31,24,50,59,0,31,12,13,14,0,70,4
24,14,Matamata-Piako.District,36000,36000,0,0,0,0,0,0,0,0,0,0,35,4
24,51,Christchurch.City,385500,385406,10,18,36,30,0,10,13,11,9,0,394,4
24,65,Auckland,1642796,1641663,193,203,389,348,4,193,143,138,67,0,1939,4
24,17,Ōtorohanga.District,10500,10500,0,0,0,0,0,0,0,0,0,0,8,4
24,25,Rangitikei.District,15750,15714,2,6,13,15,0,2,5,4,4,0,24,4
24,4,Masterton.District,26800,26783,2,2,6,7,0,2,1,1,1,0,49,4
24,57,Waitaki.District,23200,23194,2,1,2,1,0,2,1,2,0,0,29,4
24,40,Wairoa.District,8680,8679,0,0,0,1,0,0,0,0,0,0,11,4
24,59,Queenstown-Lakes.District,41700,41695,0,2,2,1,0,0,1,0,0,0,41,4
24,37,Kawerau.District,7490,7490,0,0,0,0,0,0,0,0,0,0,9,4
24,44,Marlborough.District,49200,49200,0,0,0,0,0,0,0,0,0,0,56,4
24,33,Western.Bay.of.Plenty.District,53900,53891,2,3,3,1,0,2,3,0,0,0,66,4
24,26,Manawatu.District,31700,31700,0,0,0,0,0,0,0,0,0,0,42,4
24,13,Waikato.District,79900,79828,15,16,20,21,0,15,13,7,4,0,95,4
24,30,Kapiti.Coast.District,56000,55998,0,0,1,1,0,0,0,1,1,0,41,4
24,64,Invercargill.City,56200,56172,4,11,4,9,0,4,7,1,4,0,49,4
24,28,Tararua.District,18650,18650,0,0,0,0,0,0,0,0,0,0,15,4
24,47,Grey.District,13750,13750,0,0,0,0,0,0,0,0,0,0,19,4
24,60,Dunedin.City,131700,131248,69,93,159,131,0,69,61,50,36,0,274,4
24,53,Ashburton.District,34800,34787,1,3,4,5,0,1,2,2,2,0,37,4
24,55,Mackenzie.District,5140,5137,0,0,1,2,0,0,0,0,0,0,6,4
24,9,Whangarei.District,96000,95876,12,33,42,37,0,12,21,10,8,0,116,4
24,10,Kaipara.District,24100,24000,14,21,27,38,0,14,11,9,7,0,49,4
