ticks,who,name,pop.0,susceptible,exposed,presymptomatic,infected,recovered,dead,new.exposed,new.presymptomatic,new.infected,new.recovered,new.dead,new.tests,alert.level
28,0,Northland,178500,178466,2,3,8,21,0,2,3,3,3,0,191,4
28,3,Counties.Manukau,557786,557165,59,125,192,245,4,59,91,61,33,1,747,4
28,1,Waitemata,622349,622109,29,43,81,87,1,29,32,25,14,0,666,4
28,9,Hawkes.Bay,165360,165240,18,30,37,35,0,18,20,12,8,0,218,4
28,11,MidCentral,178240,178227,2,0,4,7,0,2,0,1,1,0,201,4
28,10,Whanganui,64565,64544,2,3,6,10,0,2,2,4,2,0,76,4
28,2,Auckland,538839,538507,49,55,114,114,1,49,40,35,17,0,624,4
28,18,South.Canterbury,60025,59864,18,33,46,64,0,18,21,14,10,0,95,4
28,6,Bay.of.Plenty,236816,236230,73,113,182,218,4,73,76,68,31,0,404,4
28,12,Hutt.Valley,149270,149196,14,17,26,17,0,14,13,8,3,0,172,4
28,4,Waikato,417129,416957,38,31,53,50,1,38,26,13,10,1,443,4
28,13,Capital.and.Coast,316620,316363,29,47,80,101,0,29,37,26,13,0,394,4
28,5,Lakes,110040,110007,5,7,11,10,0,5,6,2,2,0,120,4
28,8,Taranaki,119640,119635,0,0,2,3,0,0,0,0,0,0,120,4
28,15,Nelson.Marlborough,150277,149829,75,83,146,144,3,75,57,43,19,0,281,4
28,19,Southern,328229,327957,32,56,79,105,1,32,43,26,15,0,386,4
28,16,West.Coast,32445,32444,1,0,0,0,0,1,0,0,0,0,32,4
28,7,Tairawhiti,48965,48965,0,0,0,0,0,0,0,0,0,0,41,4
28,17,Canterbury,562870,562716,19,29,55,51,0,19,19,19,9,0,612,4
28,14,Wairarapa,44844,44795,1,7,14,27,1,1,5,4,1,0,50,4
29,4,Waikato,417129,416941,16,50,59,63,1,16,38,19,13,0,498,4
29,1,Waitemata,622349,622085,24,42,99,99,1,24,29,30,12,0,732,4
29,18,South.Canterbury,60025,59840,24,27,59,75,0,24,18,24,11,0,104,4
29,15,Nelson.Marlborough,150277,149770,59,105,182,161,3,59,75,53,17,0,338,4
29,16,West.Coast,32445,32444,0,1,0,0,0,0,1,0,0,0,40,4
29,0,Northland,178500,178459,7,3,7,24,0,7,2,2,3,0,179,4
29,3,Counties.Manukau,557786,557061,104,98,244,279,4,104,59,86,34,0,745,4
29,10,Whanganui,64565,64542,2,3,8,10,0,2,2,2,0,0,59,4
29,12,Hutt.Valley,149270,149180,16,18,35,21,0,16,14,13,4,0,174,4
29,14,Wairarapa,44844,44791,4,2,15,32,1,4,1,6,5,0,58,4
29,5,Lakes,110040,110003,4,7,15,11,0,4,5,5,1,0,147,4
29,9,Hawkes.Bay,165360,165229,11,28,48,44,0,11,18,20,9,0,231,4
29,19,Southern,328229,327925,32,49,105,118,1,32,32,39,13,0,460,4
29,2,Auckland,538839,538462,45,74,119,139,1,45,49,30,25,0,634,4
29,8,Taranaki,119640,119634,1,0,2,3,0,1,0,0,0,0,137,4
29,6,Bay.of.Plenty,236816,236161,69,115,222,249,4,69,73,71,31,0,417,4
29,17,Canterbury,562870,562689,27,26,67,61,0,27,19,22,10,0,570,4
29,7,Tairawhiti,48965,48965,0,0,0,0,0,0,0,0,0,0,39,4
29,11,MidCentral,178240,178227,0,2,4,7,0,0,2,0,0,0,177,4
29,13,Capital.and.Coast,316620,316328,35,45,92,120,0,35,29,31,19,0,383,4
30,11,MidCentral,178240,178227,0,1,5,7,0,0,0,1,0,0,187,4
30,4,Waikato,417128,416924,17,32,78,77,2,17,16,34,14,1,483,4
30,8,Taranaki,119640,119633,1,1,1,4,0,1,1,0,1,0,133,4
30,5,Lakes,110040,109996,7,6,18,13,0,7,4,5,2,0,121,4
30,17,Canterbury,562870,562667,22,35,73,73,0,22,27,18,12,0,610,4
30,18,South.Canterbury,60025,59819,21,37,58,90,0,21,24,14,15,0,113,4
30,15,Nelson.Marlborough,150277,149693,77,93,209,205,3,77,59,71,44,0,322,4
30,0,Northland,178500,178457,2,8,9,24,0,2,7,2,0,0,199,4
30,9,Hawkes.Bay,165360,165209,20,18,64,49,0,20,11,21,5,0,203,4
30,13,Capital.and.Coast,316620,316298,30,49,97,146,0,30,35,31,26,0,405,4
30,12,Hutt.Valley,149270,149166,14,23,39,28,0,14,16,11,7,0,226,4
30,10,Whanganui,64565,64539,3,3,7,13,0,3,2,2,3,0,70,4
30,14,Wairarapa,44844,44787,4,5,15,33,1,4,4,1,1,0,61,4
30,3,Counties.Manukau,557786,556980,81,134,265,326,4,81,104,68,47,0,790,4
30,1,Waitemata,622349,622049,36,39,108,117,1,36,24,27,18,0,692,4
30,7,Tairawhiti,48965,48965,0,0,0,0,0,0,0,0,0,0,42,4
30,19,Southern,328228,327889,36,51,113,139,2,36,32,30,21,1,459,4
30,16,West.Coast,32445,32444,0,1,0,0,0,0,0,0,0,0,29,4
30,6,Bay.of.Plenty,236816,236080,81,112,245,298,4,81,69,72,49,0,427,4
30,2,Auckland,538839,538413,49,69,143,165,1,49,45,50,26,0,655,4
31,17,Canterbury,562869,562647,20,31,87,84,1,20,22,26,11,1,646,4
31,7,Tairawhiti,48965,48965,0,0,0,0,0,0,0,0,0,0,51,4
31,15,Nelson.Marlborough,150277,149634,59,113,226,245,3,59,77,57,40,0,344,4
31,5,Lakes,110040,109991,5,8,17,19,0,5,7,5,6,0,110,4
31,2,Auckland,538838,538366,47,71,163,191,2,47,49,47,26,1,665,4
31,10,Whanganui,64565,64537,2,4,7,15,0,2,3,2,2,0,67,4
31,12,Hutt.Valley,149270,149156,10,20,50,34,0,10,14,17,6,0,204,4
31,8,Taranaki,119640,119633,0,1,2,4,0,0,1,1,0,0,137,4
31,4,Waikato,417128,416901,23,30,78,96,2,23,17,19,19,0,496,4
31,14,Wairarapa,44844,44786,1,7,14,36,1,1,4,2,3,0,47,4
31,13,Capital.and.Coast,316620,316271,27,49,108,165,0,27,30,30,19,0,422,4
31,16,West.Coast,32445,32444,0,1,0,0,0,0,0,0,0,0,22,4
31,6,Bay.of.Plenty,236816,236008,72,110,282,344,4,72,81,83,46,0,503,4
31,18,South.Canterbury,60025,59800,19,29,74,103,0,19,21,29,13,0,139,4
31,11,MidCentral,178240,178225,2,0,5,8,0,2,0,1,1,0,184,4
31,1,Waitemata,622349,622025,24,47,115,138,1,24,36,28,21,0,741,4
31,3,Counties.Manukau,557784,556905,75,119,300,385,6,75,81,96,59,2,872,4
31,0,Northland,178500,178453,4,3,14,26,0,4,2,7,2,0,214,4
31,19,Southern,328228,327859,30,54,117,168,2,30,36,33,29,0,430,4
31,9,Hawkes.Bay,165360,165196,13,30,58,63,0,13,20,8,14,0,205,4
32,17,Canterbury,562869,562629,18,33,78,111,1,18,20,18,27,0,626,4
32,9,Hawkes.Bay,165360,165179,17,19,70,75,0,17,13,24,12,0,234,4
32,7,Tairawhiti,48965,48965,0,0,0,0,0,0,0,0,0,0,58,4
32,14,Wairarapa,44844,44784,2,4,16,38,1,2,1,4,2,0,70,4
32,3,Counties.Manukau,557784,556834,71,118,310,451,6,71,75,76,66,0,866,4
32,12,Hutt.Valley,149270,149151,5,15,56,43,0,5,10,15,9,0,194,4
32,19,Southern,328227,327833,26,46,131,191,3,26,30,38,23,1,426,4
32,18,South.Canterbury,60025,59783,17,27,72,126,0,17,19,21,23,0,117,4
32,5,Lakes,110040,109988,3,6,20,23,0,3,5,7,4,0,138,4
32,1,Waitemata,622349,621990,35,46,116,162,1,35,24,25,24,0,665,4
32,8,Taranaki,119640,119633,0,0,3,4,0,0,0,1,0,0,139,4
32,0,Northland,178500,178449,4,5,14,28,0,4,4,2,2,0,187,4
32,11,MidCentral,178240,178225,0,2,4,9,0,0,2,0,1,0,196,4
32,13,Capital.and.Coast,316619,316250,21,42,121,185,1,21,27,34,20,1,435,4
32,10,Whanganui,64564,64534,3,4,7,16,1,3,2,2,1,1,62,4
32,16,West.Coast,32445,32444,0,0,1,0,0,0,0,1,0,0,37,4
32,2,Auckland,538838,538340,26,67,177,228,2,26,47,51,37,0,696,4
32,4,Waikato,417128,416884,17,36,83,108,2,17,23,17,12,0,487,4
32,6,Bay.of.Plenty,236816,235944,64,111,302,395,4,64,72,71,51,0,507,4
32,15,Nelson.Marlborough,150277,149586,48,100,258,285,3,48,59,72,40,0,378,4
33,6,Bay.of.Plenty,236815,235904,40,102,307,462,5,40,64,73,67,1,493,4
33,10,Whanganui,64564,64534,0,3,9,18,1,0,3,4,2,0,85,4
33,8,Taranaki,119640,119633,0,0,1,6,0,0,0,0,2,0,119,4
33,4,Waikato,417128,416872,12,27,90,127,2,12,17,26,19,0,491,4
33,19,Southern,328227,327805,28,47,132,215,3,28,26,25,24,0,468,4
33,17,Canterbury,562869,562621,8,33,80,127,1,8,18,18,16,0,663,4
33,1,Waitemata,622349,621974,16,51,124,184,1,16,35,30,22,0,758,4
33,2,Auckland,538838,538306,34,46,194,258,2,34,26,47,30,0,717,4
33,7,Tairawhiti,48965,48965,0,0,0,0,0,0,0,0,0,0,50,4
33,13,Capital.and.Coast,316619,316226,24,32,130,207,1,24,21,31,22,0,404,4
33,0,Northland,178500,178447,2,6,15,30,0,2,4,3,2,0,197,4
33,14,Wairarapa,44844,44783,1,5,13,42,1,1,2,1,4,0,53,4
33,9,Hawkes.Bay,165360,165172,7,24,66,91,0,7,17,12,16,0,211,4
33,15,Nelson.Marlborough,150276,149554,32,83,279,328,4,32,48,65,43,1,411,4
33,16,West.Coast,32445,32444,0,0,1,0,0,0,0,0,0,0,28,4
33,5,Lakes,110040,109984,4,6,20,26,0,4,3,3,3,0,128,4
33,3,Counties.Manukau,557784,556785,49,114,322,514,6,49,71,75,63,0,837,4
33,12,Hutt.Valley,149270,149144,7,13,49,57,0,7,5,7,14,0,206,4
33,11,MidCentral,178240,178224,1,1,5,9,0,1,0,1,0,0,174,4
33,18,South.Canterbury,60025,59770,13,27,82,133,0,13,17,17,7,0,154,4
34,11,MidCentral,178240,178223,1,2,3,11,0,1,1,0,2,0,185,4
34,5,Lakes,110040,109984,0,5,21,30,0,0,4,5,4,0,143,4
34,1,Waitemata,622349,621965,9,34,137,204,1,9,16,33,20,0,745,4
34,8,Taranaki,119640,119632,1,0,1,6,0,1,0,0,0,0,135,4
34,9,Hawkes.Bay,165360,165166,6,14,72,102,0,6,7,17,11,0,223,4
34,16,West.Coast,32445,32444,0,0,1,0,0,0,0,0,0,0,28,4
34,7,Tairawhiti,48965,48965,0,0,0,0,0,0,0,0,0,0,49,4
34,14,Wairarapa,44844,44783,0,2,17,42,1,0,1,4,0,0,56,4
34,15,Nelson.Marlborough,150276,149537,17,61,273,388,4,17,32,54,60,0,350,4
34,13,Capital.and.Coast,316617,316221,5,33,130,228,3,5,24,23,21,2,453,4
34,4,Waikato,417128,416864,8,23,79,154,2,8,12,16,27,0,485,4
34,3,Counties.Manukau,557783,556751,34,83,340,575,7,34,49,80,61,1,853,4
34,17,Canterbury,562869,562616,5,18,86,144,1,5,8,23,17,0,637,4
34,2,Auckland,538838,538296,10,46,183,303,2,10,34,34,45,0,710,4
34,19,Southern,328227,327791,14,46,136,240,3,14,28,29,25,0,449,4
34,18,South.Canterbury,60025,59767,3,22,90,143,0,3,13,18,10,0,143,4
34,0,Northland,178500,178446,1,4,14,35,0,1,2,4,5,0,200,4
34,10,Whanganui,64564,64534,0,1,8,21,1,0,0,2,3,0,67,4
34,12,Hutt.Valley,149270,149139,5,10,48,68,0,5,7,10,11,0,178,4
34,6,Bay.of.Plenty,236815,235880,24,71,319,521,5,24,40,71,59,0,565,4
35,5,Lakes,110040,109984,0,3,21,32,0,0,0,2,2,0,120,4
35,8,Taranaki,119640,119632,0,1,1,6,0,0,1,0,0,0,107,4
35,19,Southern,328227,327786,5,29,131,276,3,5,14,31,36,0,481,4
