ticks,who,name,pop.0,susceptible,cum.cases,cum.infected,cum.recovered,new.cases,new.infected,new.recovered,new.tests,alert.level
27,5,Lakes,110040,109922,86,131,0,8,14,0,101,4
27,18,South.Canterbury,60025,60024,2,2,0,0,0,0,57,4
27,3,Counties.Manukau,557790,557360,334,494,3,43,64,0,625,4
27,11,MidCentral,178240,177953,228,320,1,30,38,0,167,4
27,1,Waitemata,622350,621918,344,513,2,42,61,0,645,4
27,19,Southern,328230,328214,14,19,1,0,0,0,310,4
27,7,Tairawhiti,48965,48953,12,14,0,0,0,0,51,4
27,8,Taranaki,119640,119620,18,22,0,1,3,0,121,4
27,4,Waikato,417130,416924,167,242,0,26,37,0,407,4
27,10,Whanganui,64565,64516,43,59,0,7,7,0,60,4
27,2,Auckland,538840,538199,531,761,1,63,95,0,542,4
27,16,West.Coast,32445,32441,5,6,0,1,1,0,31,4
27,9,Hawkes.Bay,165360,165307,42,60,0,6,9,0,190,4
27,12,Hutt.Valley,149270,148787,380,568,1,43,68,1,166,4
27,0,Northland,178500,178453,37,54,0,6,8,0,174,4
27,17,Canterbury,562870,562820,38,55,3,10,11,0,549,4
27,14,Wairarapa,44845,44819,24,33,0,4,7,0,36,4
27,13,Capital.and.Coast,316620,316086,412,608,0,54,80,0,330,4
27,6,Bay.of.Plenty,236820,236740,48,85,3,6,11,2,247,4
27,15,Nelson.Marlborough,150280,150265,10,16,1,2,2,0,164,4
28,1,Waitemata,622350,621859,389,572,2,45,59,0,609,4
28,6,Bay.of.Plenty,236820,236727,56,98,3,8,13,0,257,4
28,0,Northland,178500,178448,42,59,0,5,5,0,198,4
28,12,Hutt.Valley,149270,148700,435,655,1,55,87,0,188,4
28,17,Canterbury,562870,562815,42,60,3,4,5,0,577,4
28,19,Southern,328230,328212,15,21,1,1,2,0,311,4
28,14,Wairarapa,44845,44818,25,34,0,1,1,0,47,4
28,10,Whanganui,64565,64516,43,59,0,0,0,0,72,4
28,8,Taranaki,119640,119616,21,26,1,3,4,1,120,4
28,13,Capital.and.Coast,316620,315985,482,709,0,70,101,0,322,4
28,15,Nelson.Marlborough,150280,150264,11,17,1,1,1,0,162,4
28,4,Waikato,417130,416882,199,284,0,32,42,0,418,4
28,7,Tairawhiti,48965,48952,12,15,0,0,1,0,54,4
28,2,Auckland,538840,538089,609,871,1,78,110,0,545,4
28,18,South.Canterbury,60025,60024,2,2,0,0,0,0,64,4
28,3,Counties.Manukau,557790,557288,381,566,3,47,72,0,572,4
28,5,Lakes,110040,109907,98,146,0,12,15,0,105,4
28,16,West.Coast,32445,32441,5,6,0,0,0,0,33,4
28,9,Hawkes.Bay,165360,165298,48,69,0,6,9,0,179,4
28,11,MidCentral,178240,177909,254,364,1,26,44,0,201,4
29,19,Southern,328230,328211,15,22,1,0,1,0,340,4
29,14,Wairarapa,44845,44815,27,37,0,2,3,0,44,4
29,11,MidCentral,178240,177862,289,411,2,35,47,1,189,4
29,9,Hawkes.Bay,165360,165291,53,76,0,5,7,0,167,4
29,2,Auckland,538840,537973,684,987,1,75,116,0,571,4
29,17,Canterbury,562870,562812,45,63,3,3,3,0,533,4
29,6,Bay.of.Plenty,236820,236714,66,111,3,10,13,0,224,4
29,0,Northland,178500,178443,45,64,0,3,5,0,184,4
29,8,Taranaki,119640,119609,28,33,1,7,7,0,134,4
29,12,Hutt.Valley,149270,148606,502,749,2,67,94,1,147,4
29,15,Nelson.Marlborough,150280,150264,11,17,1,0,0,0,143,4
29,18,South.Canterbury,60025,60024,2,2,0,0,0,0,57,4
29,3,Counties.Manukau,557790,557217,428,637,3,47,71,0,583,4
