ticks,who,name,pop.0,susceptible,cum.cases,cum.infected,cum.recovered,new.cases,new.infected,new.recovered,new.tests,alert.level
17,15,Nelson.Marlborough,150280,150221,45,63,0,5,8,0,154,4
17,19,Southern,328230,328196,29,40,0,4,4,0,348,4
17,9,Hawkes.Bay,165360,165347,8,15,0,2,2,0,163,4
17,12,Hutt.Valley,149270,149252,12,22,0,2,3,0,146,4
17,5,Lakes,110040,109956,66,94,0,9,13,0,105,4
17,4,Waikato,417130,417063,54,75,0,6,8,0,470,4
17,16,West.Coast,32445,32440,4,5,0,3,3,0,39,4
17,6,Bay.of.Plenty,236820,236796,12,29,0,2,3,0,238,4
17,18,South.Canterbury,60025,60020,4,6,0,0,0,0,63,4
17,7,Tairawhiti,48965,48964,0,1,0,0,0,0,39,4
17,14,Wairarapa,44845,44844,1,1,0,0,0,0,34,4
17,17,Canterbury,562870,562784,70,98,0,7,10,0,553,4
17,8,Taranaki,119640,119629,6,12,0,2,3,0,116,4
17,3,Counties.Manukau,557790,557638,125,174,0,25,36,0,572,4
17,2,Auckland,538840,538584,209,303,0,27,40,0,526,4
17,10,Whanganui,64565,64561,5,5,0,1,1,0,79,4
17,11,MidCentral,178240,178164,57,87,0,7,8,0,194,4
17,1,Waitemata,622350,622052,239,345,1,30,43,0,642,4
17,13,Capital.and.Coast,316620,316582,32,46,0,6,7,0,341,4
17,0,Northland,178500,178490,8,11,1,2,2,1,194,4
18,8,Taranaki,119640,119625,9,16,0,3,4,0,121,4
18,7,Tairawhiti,48965,48964,0,1,0,0,0,0,56,4
18,11,MidCentral,178240,178150,68,101,0,11,14,0,173,4
18,1,Waitemata,622350,622001,269,396,1,30,51,0,670,4
18,12,Hutt.Valley,149270,149250,12,24,0,0,2,0,159,4
18,14,Wairarapa,44845,44844,1,1,0,0,0,0,50,4
18,9,Hawkes.Bay,165360,165345,10,17,0,2,2,0,167,4
18,17,Canterbury,562870,562768,82,114,0,12,16,0,551,4
18,2,Auckland,538840,538526,247,361,0,38,58,0,506,4
18,5,Lakes,110040,109937,80,113,0,14,19,0,102,4
18,0,Northland,178500,178488,9,13,1,1,2,0,173,4
18,19,Southern,328230,328186,35,50,0,6,10,0,320,4
18,13,Capital.and.Coast,316620,316577,36,51,0,4,5,0,341,4
18,3,Counties.Manukau,557790,557608,148,204,0,23,30,0,564,4
18,15,Nelson.Marlborough,150280,150210,51,74,0,6,11,0,144,4
18,18,South.Canterbury,60025,60020,4,6,0,0,0,0,44,4
18,6,Bay.of.Plenty,236820,236795,12,30,0,0,1,0,245,4
18,4,Waikato,417130,417049,63,89,0,9,14,0,449,4
18,10,Whanganui,64565,64561,5,5,0,0,0,0,72,4
18,16,West.Coast,32445,32440,4,5,0,0,0,0,28,4
19,0,Northland,178500,178488,9,13,1,0,0,0,151,4
19,8,Taranaki,119640,119622,11,19,0,2,3,0,126,4
19,5,Lakes,110040,109926,88,124,0,8,11,0,136,4
19,3,Counties.Manukau,557790,557584,164,228,0,16,24,0,539,4
19,16,West.Coast,32445,32440,4,5,0,0,0,0,34,4
19,17,Canterbury,562870,562756,89,126,0,7,12,0,527,4
19,11,MidCentral,178240,178138,78,113,0,10,12,0,182,4
19,13,Capital.and.Coast,316620,316572,39,56,0,3,5,0,297,4
19,10,Whanganui,64565,64559,6,7,0,1,2,0,57,4
19,9,Hawkes.Bay,165360,165343,11,19,0,1,2,0,167,4
19,1,Waitemata,622350,621948,301,449,1,32,53,0,658,4
19,15,Nelson.Marlborough,150280,150198,59,86,0,8,12,0,129,4
19,2,Auckland,538840,538466,288,421,1,41,60,1,528,4
19,19,Southern,328230,328183,37,53,0,2,3,0,321,4
19,4,Waikato,417130,417035,71,103,0,8,14,0,407,4
19,6,Bay.of.Plenty,236820,236794,12,31,0,0,1,0,232,4
19,14,Wairarapa,44845,44844,1,1,0,0,0,0,44,4
19,7,Tairawhiti,48965,48964,0,1,0,0,0,0,50,4
19,18,South.Canterbury,60025,60019,5,7,0,1,1,0,53,4
19,12,Hutt.Valley,149270,149246,14,28,0,2,4,0,150,4
20,14,Wairarapa,44845,44844,1,1,0,0,0,0,46,4
20,9,Hawkes.Bay,165360,165340,13,22,0,2,3,0,169,4
20,13,Capital.and.Coast,316620,316566,42,62,0,3,6,0,316,4
20,4,Waikato,417130,417022,79,116,0,8,13,0,413,4
20,18,South.Canterbury,60025,60018,5,8,0,0,1,0,67,4
20,0,Northland,178500,178487,10,14,1,1,1,0,158,4
20,11,MidCentral,178240,178120,90,131,0,12,18,0,214,4
20,19,Southern,328230,328173,45,63,0,8,10,0,307,4
20,5,Lakes,110040,109911,97,139,0,9,15,0,110,4
20,12,Hutt.Valley,149270,149243,16,31,0,2,3,0,141,4
20,7,Tairawhiti,48965,48964,0,1,0,0,0,0,39,4
20,6,Bay.of.Plenty,236820,236793,12,32,0,0,1,0,258,4
20,17,Canterbury,562870,562739,98,143,0,9,17,0,612,4
20,10,Whanganui,64565,64557,8,9,0,2,2,0,48,4
20,2,Auckland,538840,538413,325,474,2,37,53,1,567,4
20,1,Waitemata,622350,621893,334,504,1,33,55,0,600,4
20,15,Nelson.Marlborough,150280,150191,65,93,0,6,7,0,134,4
20,3,Counties.Manukau,557790,557555,185,257,0,21,29,0,560,4
20,8,Taranaki,119640,119620,13,21,0,2,2,0,131,4
20,16,West.Coast,32445,32439,5,6,0,1,1,0,43,4
21,0,Northland,178500,178485,11,16,1,1,2,0,192,4
21,4,Waikato,417130,417010,86,128,0,7,12,0,419,4
21,8,Taranaki,119640,119617,15,24,0,2,3,0,134,4
21,11,MidCentral,178240,178102,101,149,0,11,18,0,187,4
21,18,South.Canterbury,60025,60015,8,11,0,3,3,0,58,4
21,12,Hutt.Valley,149270,149239,18,35,0,2,4,0,129,4
21,15,Nelson.Marlborough,150280,150172,75,112,0,10,19,0,170,4
21,19,Southern,328230,328166,50,70,0,5,7,0,330,4
21,13,Capital.and.Coast,316620,316557,46,71,0,4,9,0,309,4
21,17,Canterbury,562870,562725,107,157,0,9,14,0,534,4
21,9,Hawkes.Bay,165360,165339,14,23,0,1,1,0,134,4
21,6,Bay.of.Plenty,236820,236788,15,37,0,3,5,0,245,4
21,1,Waitemata,622350,621825,383,572,3,49,68,2,617,4
21,16,West.Coast,32445,32436,8,9,0,3,3,0,30,4
21,2,Auckland,538840,538366,353,521,2,28,47,0,556,4
21,7,Tairawhiti,48965,48964,0,1,0,0,0,0,50,4
21,3,Counties.Manukau,557790,557520,207,292,0,22,35,0,531,4
21,14,Wairarapa,44845,44844,1,1,0,0,0,0,47,4
21,10,Whanganui,64565,64557,8,9,0,0,0,0,61,4
21,5,Lakes,110040,109893,110,157,0,13,18,0,125,4
22,18,South.Canterbury,60025,60014,8,12,0,0,1,0,68,4
22,12,Hutt.Valley,149270,149235,21,39,0,3,4,0,166,4
22,7,Tairawhiti,48965,48964,0,1,0,0,0,0,52,4
22,9,Hawkes.Bay,165360,165337,16,25,0,2,2,0,153,4
22,6,Bay.of.Plenty,236820,236785,17,40,0,2,3,0,209,4
22,8,Taranaki,119640,119615,17,26,0,2,2,0,119,4
22,17,Canterbury,562870,562713,113,169,0,6,12,0,620,4
22,0,Northland,178500,178484,12,17,1,1,1,0,202,4
22,14,Wairarapa,44845,44844,1,1,0,0,0,0,50,4
22,3,Counties.Manukau,557790,557491,224,321,0,17,29,0,560,4
22,11,MidCentral,178240,178084,112,167,0,11,18,0,171,4
22,1,Waitemata,622350,621773,416,624,3,33,52,0,646,4
22,4,Waikato,417130,417001,91,137,0,5,9,0,442,4
22,2,Auckland,538840,538320,386,567,2,33,46,0,550,4
22,5,Lakes,110040,109884,118,166,0,8,9,0,105,4
22,16,West.Coast,32445,32436,8,9,0,0,0,0,35,4
22,10,Whanganui,64565,64557,8,9,0,0,0,0,77,4
22,13,Capital.and.Coast,316620,316551,50,77,0,4,6,0,349,4
22,15,Nelson.Marlborough,150280,150165,81,119,0,6,7,0,138,4
22,19,Southern,328230,328158,53,78,1,3,8,1,366,4
23,3,Counties.Manukau,557790,557473,239,339,0,15,18,0,549,4
23,12,Hutt.Valley,149270,149233,23,41,0,2,2,0,135,4
23,6,Bay.of.Plenty,236820,236784,17,41,0,0,1,0,274,4
23,8,Taranaki,119640,119612,19,29,0,2,3,0,135,4
23,19,Southern,328230,328153,57,83,1,4,5,0,343,4
23,18,South.Canterbury,60025,60012,8,14,0,0,2,0,57,4
23,7,Tairawhiti,48965,48964,0,1,0,0,0,0,52,4
23,9,Hawkes.Bay,165360,165337,16,25,0,0,0,0,185,4
23,10,Whanganui,64565,64556,9,10,0,1,1,0,61,4
23,1,Waitemata,622350,621740,431,657,3,15,33,0,601,4
23,11,MidCentral,178240,178078,116,173,0,4,6,0,181,4
23,0,Northland,178500,178484,12,17,1,0,0,0,177,4
23,14,Wairarapa,44845,44844,1,1,0,0,0,0,44,4
23,5,Lakes,110040,109871,124,179,1,6,13,1,116,4
23,2,Auckland,538840,538273,411,614,3,25,47,1,563,4
23,13,Capital.and.Coast,316620,316549,51,79,1,1,2,1,317,4
23,17,Canterbury,562870,562698,121,184,0,8,15,0,567,4
23,15,Nelson.Marlborough,150280,150160,84,124,0,3,5,0,158,4
23,16,West.Coast,32445,32436,8,9,0,0,0,0,38,4
23,4,Waikato,417130,416994,96,144,0,5,7,0,414,4
24,12,Hutt.Valley,149270,149230,25,44,0,2,3,0,127,4
24,2,Auckland,538840,538225,443,662,3,32,48,0,524,4
24,11,MidCentral,178240,178066,125,185,0,9,12,0,170,4
24,8,Taranaki,119640,119611,19,30,0,0,1,0,108,4
24,16,West.Coast,32445,32434,9,11,0,1,2,0,30,4
24,10,Whanganui,64565,64556,9,10,0,0,0,0,64,4
24,3,Counties.Manukau,557790,557440,260,372,0,21,33,0,606,4
24,15,Nelson.Marlborough,150280,150151,89,133,0,5,9,0,144,4
24,1,Waitemata,622350,621691,462,706,4,31,49,1,658,4
