ticks,who,name,pop.0,susceptible,cum.cases,cum.infected,cum.recovered,new.cases,new.infected,new.recovered,new.tests,alert.level
20,18,0,263555,263499,49,69,0,6,6,0,251,4
20,0,0,83523,83442,59,94,0,6,13,0,87,4
20,17,0,235378,235337,34,47,1,3,6,0,236,4
20,19,0,248289,248239,42,59,0,8,9,0,248,4
20,14,0,238942,238820,92,146,1,14,24,0,210,4
20,10,0,122575,122562,10,14,0,2,2,0,120,4
20,11,0,197299,197249,36,61,0,7,11,0,199,4
20,9,0,423646,423534,89,129,0,7,11,0,460,4
20,16,0,228001,227934,40,73,0,8,14,0,241,4
20,6,0,1301326,1300962,248,404,0,33,59,0,1312,4
20,3,0,22411,22405,6,6,0,1,1,0,11,4
20,12,0,52119,52022,86,115,0,13,17,0,47,4
20,1,0,520679,520642,21,38,0,3,5,0,503,4
20,7,0,128372,128345,25,35,0,2,3,0,117,4
20,2,0,109571,109525,38,55,0,7,9,0,101,4
20,13,0,195804,195744,48,70,0,2,6,0,225,4
20,4,0,339255,339206,38,57,0,3,7,0,355,4
20,5,0,140070,140050,16,24,0,5,5,0,148,4
20,8,0,54328,54324,3,5,0,0,0,0,68,4
20,15,0,94857,94844,9,15,0,0,4,0,100,4
21,9,0,423646,423517,100,146,0,11,17,0,399,4
21,18,0,263555,263492,55,76,0,6,7,0,259,4
21,6,0,1301326,1300900,288,466,0,40,62,0,1317,4
21,5,0,140070,140047,19,27,0,3,3,0,142,4
21,10,0,122575,122560,11,16,0,1,2,0,143,4
21,3,0,22411,22402,9,9,0,3,3,0,26,4
21,8,0,54328,54323,4,6,0,1,1,0,50,4
21,19,0,248289,248229,47,69,0,5,10,0,256,4
21,4,0,339255,339200,43,63,0,5,6,0,343,4
21,14,0,238942,238810,97,156,1,5,10,0,245,4
21,15,0,94857,94843,10,16,0,1,1,0,85,4
21,2,0,109571,109512,51,68,0,13,13,0,96,4
21,12,0,52119,52011,94,126,0,8,11,0,42,4
21,16,0,228001,227920,50,87,0,10,14,0,222,4
21,11,0,197299,197242,40,68,0,4,7,0,203,4
21,13,0,195804,195735,55,79,0,7,9,0,205,4
21,17,0,235378,235332,37,52,1,3,5,0,221,4
21,0,0,83523,83433,66,103,0,7,9,0,85,4
21,7,0,128372,128341,27,39,0,2,4,0,119,4
21,1,0,520679,520638,25,42,0,4,4,0,498,4
22,5,0,140070,140045,20,29,0,1,2,0,145,4
22,2,0,109571,109506,55,74,0,4,6,0,102,4
22,7,0,128372,128336,30,44,0,3,5,0,134,4
22,14,0,238942,238790,112,176,1,15,20,0,218,4
22,9,0,423646,423500,114,163,0,14,17,0,469,4
22,6,0,1301326,1300841,328,525,1,40,59,1,1223,4
22,19,0,248289,248219,53,79,0,6,10,0,248,4
22,16,0,228001,227903,64,104,0,14,17,0,233,4
22,15,0,94857,94841,12,18,0,2,2,0,104,4
22,17,0,235378,235330,38,54,1,1,2,0,232,4
22,13,0,195804,195728,61,86,0,6,7,0,201,4
22,18,0,263555,263483,64,85,0,9,9,0,272,4
22,12,0,52119,51994,107,143,0,13,17,0,56,4
22,0,0,83523,83417,79,119,0,13,16,0,77,4
22,1,0,520679,520631,30,49,0,5,7,0,531,4
22,11,0,197299,197232,43,78,0,3,10,0,216,4
22,4,0,339255,339189,54,74,0,11,11,0,381,4
22,8,0,54328,54322,5,7,0,1,1,0,54,4
22,3,0,22411,22398,12,13,0,3,4,0,24,4
22,10,0,122575,122556,13,20,0,2,4,0,134,4
23,11,0,197299,197222,51,88,0,8,10,0,193,4
23,4,0,339255,339182,59,81,0,5,7,0,359,4
23,10,0,122575,122555,14,21,0,1,1,0,122,4
23,7,0,128372,128332,31,48,0,1,4,0,131,4
23,15,0,94857,94840,13,19,0,1,1,0,92,4
23,18,0,263555,263473,71,95,0,7,10,0,251,4
23,14,0,238942,238775,122,191,1,10,15,0,248,4
23,16,0,228001,227883,76,124,0,12,20,0,237,4
23,3,0,22411,22397,13,14,0,1,1,0,25,4
23,17,0,235378,235324,43,60,1,5,6,0,236,4
23,8,0,54328,54319,6,10,0,1,3,0,59,4
23,12,0,52119,51975,119,162,0,12,19,0,47,4
23,5,0,140070,140043,21,31,0,1,2,0,145,4
23,2,0,109571,109491,67,89,0,12,15,0,107,4
23,0,0,83523,83404,87,132,0,8,13,0,89,4
23,6,0,1301326,1300771,378,595,1,50,70,0,1381,4
