ticks,who,name,pop.0,susceptible,cum.cases,cum.infected,cum.recovered,new.cases,new.infected,new.recovered,new.tests,alert.level
0,13,0,52717,52703,10,14,0,1,2,0,48,4
0,24,0,125332,125290,24,42,1,5,6,1,123,4
0,40,0,201804,201760,32,44,1,1,1,1,195,4
0,16,0,153799,153762,29,37,1,2,2,1,157,4
0,14,0,290697,290628,42,69,1,3,5,1,278,4
0,17,0,12120,12115,3,5,0,0,0,0,17,4
0,10,0,45990,45983,4,7,0,1,1,0,47,4
0,31,0,71231,71214,10,17,0,0,1,0,87,4
0,49,0,16004,15999,4,5,0,1,1,0,15,4
0,20,0,182063,182041,16,22,0,1,1,0,182,4
0,22,0,55433,55421,7,12,0,0,1,0,55,4
0,12,0,40647,40641,2,6,0,0,0,0,41,4
0,45,0,249453,249398,38,55,1,2,3,1,247,4
0,27,0,157252,157220,23,32,1,1,1,1,151,4
0,35,0,29414,29410,2,4,0,0,0,0,30,4
0,8,0,41948,41941,6,7,0,0,0,0,45,4
0,30,0,26882,26878,2,4,0,0,0,0,29,4
0,19,0,53667,53652,9,15,0,1,1,0,54,4
0,11,0,122560,122525,21,35,0,1,2,0,108,4
0,6,0,65898,65879,10,19,0,1,1,0,79,4
0,42,0,63837,63822,13,15,1,0,0,1,69,4
0,23,0,112830,112806,18,24,0,0,1,0,100,4
0,25,0,7481,7481,0,0,0,0,0,0,6,4
0,26,0,67756,67744,8,12,0,1,1,0,79,4
0,39,0,157463,157434,20,29,1,0,0,1,149,4
0,48,0,199335,199290,33,45,0,0,3,0,226,4
0,4,0,105597,105570,16,27,0,0,0,0,95,4
0,15,0,22703,22699,3,4,0,1,1,0,21,4
0,3,0,12571,12569,1,2,0,0,0,0,16,4
0,33,0,81974,81953,14,21,0,0,0,0,78,4
0,21,0,176996,176961,23,35,1,2,3,1,180,4
0,37,0,9266,9265,1,1,0,0,0,0,6,4
0,34,0,26666,26656,9,10,0,1,1,0,30,4
0,38,0,40965,40954,8,11,0,1,2,0,43,4
0,28,0,193060,193024,21,36,1,0,2,1,200,4
0,0,0,97521,97502,16,19,1,1,1,1,97,4
0,41,0,102546,102525,16,21,0,1,3,0,101,4
0,32,0,81576,81555,14,21,0,0,0,0,93,4
0,47,0,111774,111754,18,20,1,1,1,1,98,4
0,9,0,25034,25030,3,4,0,0,0,0,25,4
0,7,0,41409,41397,9,12,0,2,2,0,41,4
0,2,0,200422,200399,15,23,1,0,2,1,202,4
0,5,0,185452,185420,19,32,1,1,1,1,184,4
0,44,0,139166,139131,24,35,0,1,2,0,140,4
0,29,0,148585,148564,14,21,0,1,1,0,159,4
0,1,0,182760,182724,24,36,0,0,0,0,171,4
0,46,0,36482,36477,2,5,0,0,0,0,32,4
0,36,0,105381,105357,16,24,0,3,3,0,109,4
0,43,0,42912,42898,13,14,0,0,0,0,55,4
0,18,0,225568,225517,38,51,1,1,2,1,246,4
1,15,0,22703,22699,3,4,0,0,0,0,23,4
1,14,0,290697,290624,44,73,1,2,4,0,290,4
1,44,0,139166,139130,25,36,0,1,1,0,139,4
1,20,0,182063,182041,16,22,0,0,0,0,175,4
1,32,0,81576,81555,14,21,0,0,0,0,75,4
1,10,0,45990,45983,4,7,0,0,0,0,54,4
1,41,0,102546,102524,17,22,0,1,1,0,107,4
1,27,0,157252,157220,23,32,1,0,0,0,169,4
1,29,0,148585,148563,14,22,0,0,1,0,151,4
1,42,0,63837,63821,14,16,1,1,1,0,65,4
1,38,0,40965,40954,8,11,0,0,0,0,45,4
1,47,0,111774,111753,18,21,1,0,1,0,105,4
1,39,0,157463,157434,20,29,1,0,0,0,122,4
1,8,0,41948,41941,6,7,0,0,0,0,41,4
1,4,0,105597,105568,16,29,0,0,2,0,92,4
1,9,0,25034,25030,3,4,0,0,0,0,17,4
1,21,0,176996,176958,26,38,1,3,3,0,171,4
1,24,0,125332,125285,26,47,1,2,5,0,124,4
1,17,0,12120,12115,3,5,0,0,0,0,16,4
1,0,0,97521,97502,16,19,1,0,0,0,119,4
1,22,0,55433,55420,8,13,0,1,1,0,52,4
1,26,0,67756,67744,8,12,0,0,0,0,75,4
1,19,0,53667,53652,9,15,0,0,0,0,41,4
1,25,0,7481,7481,0,0,0,0,0,0,8,4
1,46,0,36482,36477,2,5,0,0,0,0,42,4
1,35,0,29414,29410,2,4,0,0,0,0,22,4
1,23,0,112830,112804,20,26,0,2,2,0,93,4
1,1,0,182760,182722,25,38,0,1,2,0,184,4
1,31,0,71231,71214,10,17,0,0,0,0,78,4
1,12,0,40647,40641,2,6,0,0,0,0,52,4
1,33,0,81974,81952,15,22,0,1,1,0,100,4
1,45,0,249453,249392,44,61,1,6,6,0,267,4
1,5,0,185452,185419,20,33,1,1,1,0,193,4
1,36,0,105381,105357,16,24,0,0,0,0,93,4
1,43,0,42912,42898,13,14,0,0,0,0,43,4
1,34,0,26666,26656,9,10,0,0,0,0,24,4
1,40,0,201804,201758,33,46,1,1,2,0,212,4
1,11,0,122560,122520,24,40,0,3,5,0,130,4
1,2,0,200422,200397,17,25,1,2,2,0,197,4
1,28,0,193060,193022,22,38,1,1,2,0,173,4
1,49,0,16004,15999,4,5,0,0,0,0,13,4
1,7,0,41409,41397,9,12,0,0,0,0,40,4
1,3,0,12571,12569,1,2,0,0,0,0,23,4
1,48,0,199335,199288,35,47,0,2,2,0,234,4
1,13,0,52717,52702,10,15,0,0,1,0,49,4
1,18,0,225568,225516,39,52,1,1,1,0,215,4
1,6,0,65898,65878,11,20,0,1,1,0,71,4
1,37,0,9266,9264,2,2,0,1,1,0,11,4
1,16,0,153799,153756,31,43,1,2,6,0,140,4
1,30,0,26882,26878,2,4,0,0,0,0,29,4
2,10,0,45990,45981,4,9,0,0,2,0,50,4
2,6,0,65898,65878,11,20,0,0,0,0,65,4
2,33,0,81974,81947,19,27,0,4,5,0,75,4
2,3,0,12571,12569,1,2,0,0,0,0,15,4
2,45,0,249453,249386,48,67,1,4,6,0,273,4
2,32,0,81576,81554,14,22,0,0,1,0,87,4
2,15,0,22703,22699,3,4,0,0,0,0,17,4
2,36,0,105381,105356,17,25,0,1,1,0,122,4
2,46,0,36482,36477,2,5,0,0,0,0,33,4
2,49,0,16004,15998,5,6,0,1,1,0,20,4
2,11,0,122560,122518,24,42,0,0,2,0,123,4
2,4,0,105597,105567,16,30,0,0,1,0,96,4
2,39,0,157463,157429,23,34,1,3,5,0,147,4
2,7,0,41409,41396,10,13,0,1,1,0,38,4
2,43,0,42912,42897,14,15,0,1,1,0,30,4
2,2,0,200422,200396,17,26,1,0,1,0,185,4
2,31,0,71231,71213,11,18,0,1,1,0,55,4
2,16,0,153799,153755,32,44,1,1,1,0,165,4
2,28,0,193060,193019,24,41,1,2,3,0,165,4
2,0,0,97521,97500,17,21,1,1,2,0,101,4
2,47,0,111774,111752,18,22,1,0,1,0,129,4
2,38,0,40965,40954,8,11,0,0,0,0,47,4
2,5,0,185452,185415,23,37,2,3,4,1,178,4
2,18,0,225568,225515,40,53,1,1,1,0,218,4
2,29,0,148585,148563,14,22,0,0,0,0,148,4
2,44,0,139166,139127,27,39,0,2,3,0,124,4
2,25,0,7481,7481,0,0,0,0,0,0,9,4
2,13,0,52717,52701,11,16,0,1,1,0,50,4
2,20,0,182063,182038,17,25,0,1,3,0,170,4
2,26,0,67756,67744,8,12,0,0,0,0,63,4
2,17,0,12120,12114,4,6,0,1,1,0,9,4
2,40,0,201804,201756,35,48,1,2,2,0,202,4
2,8,0,41948,41941,6,7,0,0,0,0,40,4
2,1,0,182760,182719,28,41,0,3,3,0,187,4
2,21,0,176996,176954,29,42,1,3,4,0,180,4
2,27,0,157252,157216,26,36,1,3,4,0,159,4
2,19,0,53667,53650,10,17,0,1,2,0,59,4
2,14,0,290697,290618,47,79,1,3,6,0,275,4
2,30,0,26882,26878,2,4,0,0,0,0,17,4
2,22,0,55433,55420,8,13,0,0,0,0,58,4
2,9,0,25034,25030,3,4,0,0,0,0,30,4
2,41,0,102546,102522,18,24,0,1,2,0,105,4
2,23,0,112830,112801,23,29,0,3,3,0,127,4
2,35,0,29414,29410,2,4,0,0,0,0,25,4
2,48,0,199335,199281,36,54,0,1,7,0,217,4
2,42,0,63837,63821,14,16,1,0,0,0,70,4
2,37,0,9266,9264,2,2,0,0,0,0,12,4
2,12,0,40647,40641,2,6,0,0,0,0,46,4
2,24,0,125332,125280,31,52,1,5,5,0,99,4
2,34,0,26666,26656,9,10,0,0,0,0,41,4
3,30,0,26882,26878,2,4,0,0,0,0,27,4
3,17,0,12120,12113,4,7,0,0,1,0,11,4
3,11,0,122560,122515,27,45,0,3,3,0,126,4
3,41,0,102546,102522,18,24,0,0,0,0,100,4
3,24,0,125332,125278,33,54,1,2,2,0,138,4
3,47,0,111774,111750,20,24,1,2,2,0,124,4
3,37,0,9266,9264,2,2,0,0,0,0,11,4
3,20,0,182063,182038,17,25,0,0,0,0,175,4
3,39,0,157463,157427,23,36,1,0,2,0,161,4
3,48,0,199335,199276,39,59,1,3,5,1,204,4
3,43,0,42912,42897,14,15,0,0,0,0,40,4
3,49,0,16004,15998,5,6,0,0,0,0,10,4
3,40,0,201804,201751,38,53,1,3,5,0,194,4
3,28,0,193060,193016,25,44,1,1,3,0,194,4
3,4,0,105597,105567,16,30,0,0,0,0,96,4
3,29,0,148585,148562,14,23,0,0,1,0,142,4
3,12,0,40647,40641,2,6,0,0,0,0,38,4
3,31,0,71231,71212,12,19,1,1,1,1,72,4
3,42,0,63837,63821,14,16,1,0,0,0,60,4
3,32,0,81576,81553,15,23,0,1,1,0,76,4
3,22,0,55433,55418,10,15,0,2,2,0,43,4
3,8,0,41948,41941,6,7,0,0,0,0,40,4
3,21,0,176996,176951,32,45,2,3,3,1,176,4
3,33,0,81974,81946,19,28,0,0,1,0,74,4
3,15,0,22703,22699,3,4,1,0,0,1,19,4
3,5,0,185452,185409,28,43,2,5,6,0,191,4
3,45,0,249453,249383,50,70,1,2,3,0,245,4
3,46,0,36482,36477,2,5,0,0,0,0,31,4
3,9,0,25034,25030,3,4,0,0,0,0,30,4
3,16,0,153799,153753,34,46,1,2,2,0,153,4
3,2,0,200422,200396,17,26,1,0,0,0,195,4
3,38,0,40965,40952,9,13,0,1,2,0,43,4
3,7,0,41409,41395,10,14,0,0,1,0,41,4
3,27,0,157252,157213,28,39,1,2,3,0,172,4
3,3,0,12571,12569,1,2,0,0,0,0,12,4
3,23,0,112830,112796,25,34,0,2,5,0,114,4
3,19,0,53667,53649,11,18,0,1,1,0,64,4
3,36,0,105381,105355,18,26,0,1,1,0,106,4
3,6,0,65898,65878,11,20,0,0,0,0,69,4
3,10,0,45990,45981,4,9,0,0,0,0,37,4
3,44,0,139166,139126,28,40,0,1,1,0,145,4
3,0,0,97521,97498,19,23,1,2,2,0,100,4
3,26,0,67756,67742,9,14,0,1,2,0,52,4
3,34,0,26666,26656,9,10,0,0,0,0,28,4
3,1,0,182760,182716,30,44,0,2,3,0,165,4
3,25,0,7481,7481,0,0,0,0,0,0,5,4
3,35,0,29414,29409,2,5,0,0,1,0,25,4
3,14,0,290697,290614,51,83,2,4,4,1,307,4
3,13,0,52717,52700,11,17,0,0,1,0,56,4
3,18,0,225568,225511,44,57,1,4,4,0,222,4
